id,title,summary,published_date,authors,primary_category
http://arxiv.org/abs/2510.27636v1,Delegate Pricing Decisions to an Algorithm? Experimental Evidence,"We analyze the delegation of pricing by participants, representing firms, to
a collusive, self-learning algorithm in a repeated Bertrand experiment. In the
baseline treatment, participants set prices themselves. In the other
treatments, participants can either delegate pricing to the algorithm at the
beginning of each supergame or receive algorithmic recommendations that they
can override. Participants delegate more when they can override the algorithm's
decisions. In both algorithmic treatments, prices are lower than in the
baseline. Our results indicate that while self-learning pricing algorithms can
be collusive, they can foster competition rather than collusion with
humans-in-the-loop.",2025-10-31 17:07:29+00:00,"['Hans-Theo Normann', 'Nina Rulié', 'Olaf Stypa', 'Tobias Werner']",econ.GN
http://arxiv.org/abs/2510.27625v1,Hiring Intrinsically Motivated Agents: A Principal's Dilemma,"Employers are concerned not only with a prospective worker's ability, but
also their propensity to avoid shirking. This paper proposes a new experimental
framework to study how Principals trade-off measures of ability and prosocial
behavior when ranking Agents for independent jobs. Subjects participate in a
simulated, incentivized job market. In an initial session, subjects are Workers
and generate a database of signals and job results. Managers in subsequent
sessions observe the signals of Worker behavior and ability and job details
before a rank-and-value task, ranking and reporting a value for each Worker for
two distinct jobs. Results highlight Managers' preference for ability over
prosocial behavior on average, especially for Managers in STEM fields. There is
evidence of homophily: the relative value of prosocial behavior is higher for
highly prosocial Managers, compensating for ability or even surpassing it in
value.",2025-10-31 16:53:42+00:00,['Andrew Leal'],econ.GN
http://arxiv.org/abs/2510.27112v1,Targeted Advertising Platforms: Data Sharing and Customer Poaching,"E-commerce platforms are rolling out ambitious targeted advertising
initiatives that rely on merchants sharing customer data with each other via
the platform. Yet current platform designs fail to address participating
merchants' concerns about customer poaching. This paper proposes a model of
designing targeted advertising platforms that incentivizes merchants to
voluntarily share customer data despite poaching concerns. I characterize the
optimal mechanism that maximizes a weighted sum of platform's revenues,
customer engagement and merchants' surplus. In sufficiently large platforms,
the optimal mechanism can be implemented through the design of three markets:
$i)$ selling market, where merchants can sell all their data at a posted price
$p$, $ii)$ exchange market, where merchants share all their data in exchange
for high click-through rate (CTR) ads, and $iii)$ buying market, where
high-value merchants buy high CTR ads at the full price. The model is broad in
scope with applications in other market design settings like the greenhouse gas
credit markets and reallocating public resources, and points toward new
directions in combinatorial market exchange designs.",2025-10-31 02:25:36+00:00,['Klajdi Hoxha'],econ.TH
http://arxiv.org/abs/2510.27008v1,Algorithmic Predation: Equilibrium Analysis in Dynamic Oligopolies with Smooth Market Sharing,"Predatory pricing -- where a firm strategically lowers prices to undermine
competitors -- is a contentious topic in dynamic oligopoly theory, with
scholars debating practical relevance and the existence of predatory
equilibria. Although finite-horizon dynamic models have long been proposed to
capture the strategic intertemporal incentives of oligopolists, the existence
and form of equilibrium strategies in settings that allow for firm exit
(drop-outs following loss-making periods) have remained an open question. We
focus on the seminal dynamic oligopoly model by Selten (1965) that introduces
the subgame perfect equilibrium and analyzes smooth market sharing. Equilibrium
can be derived analytically in models that do not allow for dropouts, but not
in models that can lead to predatory pricing. In this paper, we leverage recent
advances in deep reinforcement learning to compute and verify equilibria in
finite-horizon dynamic oligopoly games. Our experiments reveal two key
findings: first, state-of-the-art deep reinforcement learning algorithms
reliably converge to equilibrium in both perfect- and imperfect-information
oligopoly models; second, when firms face asymmetric cost structures, the
resulting equilibria exhibit predatory pricing behavior. These results
demonstrate that predatory pricing can emerge as a rational equilibrium
strategy across a broad variety of model settings. By providing equilibrium
analysis of finite-horizon dynamic oligopoly models with drop-outs, our study
answers a decade-old question and offers new insights for competition
authorities and regulators.",2025-10-30 21:14:24+00:00,"['Fabian Raoul Pieroth', 'Ole Petersen', 'Martin Bichler']",cs.GT
http://arxiv.org/abs/2510.26957v1,Predicting Household Water Consumption Using Satellite and Street View Images in Two Indian Cities,"Monitoring household water use in rapidly urbanizing regions is hampered by
costly, time-intensive enumeration methods and surveys. We investigate whether
publicly available imagery-satellite tiles, Google Street View (GSV)
segmentation-and simple geospatial covariates (nightlight intensity, population
density) can be utilized to predict household water consumption in
Hubballi-Dharwad, India. We compare four approaches: survey features
(benchmark), CNN embeddings (satellite, GSV, combined), and GSV semantic maps
with auxiliary data. Under an ordinal classification framework, GSV
segmentation plus remote-sensing covariates achieves 0.55 accuracy for water
use, approaching survey-based models (0.59 accuracy). Error analysis shows high
precision at extremes of the household water consumption distribution, but
confusion among middle classes is due to overlapping visual proxies. We also
compare and contrast our estimates for household water consumption to that of
household subjective income. Our findings demonstrate that open-access imagery,
coupled with minimal geospatial data, offers a promising alternative to
obtaining reliable household water consumption estimates using surveys in urban
analytics.",2025-10-30 19:32:34+00:00,"['Qiao Wang', 'Joseph George']",cs.LG
http://arxiv.org/abs/2510.26783v1,A Unified Theory for Causal Inference: Direct Debiased Machine Learning via Bregman-Riesz Regression,"This note introduces a unified theory for causal inference that integrates
Riesz regression, covariate balancing, density-ratio estimation (DRE), targeted
maximum likelihood estimation (TMLE), and the matching estimator in average
treatment effect (ATE) estimation. In ATE estimation, the balancing weights and
the regression functions of the outcome play important roles, where the
balancing weights are referred to as the Riesz representer, bias-correction
term, and clever covariates, depending on the context. Riesz regression,
covariate balancing, DRE, and the matching estimator are methods for estimating
the balancing weights, where Riesz regression is essentially equivalent to DRE
in the ATE context, the matching estimator is a special case of DRE, and DRE is
in a dual relationship with covariate balancing. TMLE is a method for
constructing regression function estimators such that the leading bias term
becomes zero. Nearest Neighbor Matching is equivalent to Least Squares Density
Ratio Estimation and Riesz Regression.",2025-10-30 17:56:47+00:00,['Masahiro Kato'],stat.ML
http://arxiv.org/abs/2510.26727v1,Neither Consent nor Property: A Policy Lab for Data Law,"This paper makes the opaque data market in the AI economy empirically legible
for the first time, constructing a computational testbed to address a core
epistemic failure: regulators governing a market defined by structural opacity,
fragile price discovery, and brittle technical safeguards that have paralyzed
traditional empirics and fragmented policy. The pipeline begins with multi-year
fieldwork to extract the market's hidden logic, and then embeds these grounded
behaviors into a high-fidelity ABM, parameterized via a novel LLM-based
discrete-choice experiment that captures the preferences of unsurveyable
populations. The pipeline is validated against reality, reproducing observed
trade patterns. This policy laboratory delivers clear, counter-intuitive
results. First, property-style relief is a false promise: ''anonymous-data''
carve-outs expand trade but ignore risk, causing aggregate welfare to collapse
once external harms are priced in. Second, social welfare peaks when the
downstream buyer internalizes the full substantive risk. This least-cost
avoider approach induces efficient safeguards, simultaneously raising welfare
and sustaining trade, and provides a robust empirical foundation for the legal
drift toward two-sided reachability. The contribution is a reproducible
pipeline designed to end the reliance on intuition. It converts qualitative
insight into testable, comparative policy experiments, obsoleting armchair
conjecture by replacing it with controlled evidence on how legal rules actually
shift risk and surplus. This is the forward-looking engine that moves the field
from competing intuitions to direct, computational analysis.",2025-10-30 17:27:03+00:00,"['Haoyi Zhang', 'Tianyi Zhu']",econ.GN
http://arxiv.org/abs/2510.26723v1,Bridging the Gap between Empirical Welfare Maximization and Conditional Average Treatment Effect Estimation in Policy Learning,"The goal of policy learning is to train a policy function that recommends a
treatment given covariates to maximize population welfare. There are two major
approaches in policy learning: the empirical welfare maximization (EWM)
approach and the plug-in approach. The EWM approach is analogous to a
classification problem, where one first builds an estimator of the population
welfare, which is a functional of policy functions, and then trains a policy by
maximizing the estimated welfare. In contrast, the plug-in approach is based on
regression, where one first estimates the conditional average treatment effect
(CATE) and then recommends the treatment with the highest estimated outcome.
This study bridges the gap between the two approaches by showing that both are
based on essentially the same optimization problem. In particular, we prove an
exact equivalence between EWM and least squares over a reparameterization of
the policy class. As a consequence, the two approaches are interchangeable in
several respects and share the same theoretical guarantees under common
conditions. Leveraging this equivalence, we propose a novel regularization
method for policy learning. Our findings yield a convex and computationally
efficient training procedure that avoids the NP-hard combinatorial step
typically required in EWM.",2025-10-30 17:23:40+00:00,['Masahiro Kato'],stat.ML
http://arxiv.org/abs/2510.26636v1,Putting a Price on Immobility: Food Deliveries and Pricing Approaches,"Urban food delivery services have become an integral part of daily life, yet
their mobility and environmental externalities remain poorly addressed by
planners. Most studies neglect whether consumers pay enough to internalize the
broader social costs of these services. This study quantifies the value of
access to and use of food delivery services in Beijing, China, through two
discrete choice experiments. The first measures willingness to accept
compensation for giving up access, with a median value of CNY588 (approximately
USD80). The second captures willingness to pay for reduced waiting time and
improved reliability, showing valuations far exceeding typical delivery fees
(e.g., CNY96.6/hour and CNY4.83/min at work). These results suggest a
substantial consumer surplus and a clear underpricing problem. These findings
highlight the need for urban planning to integrate digital service economies
into pricing and mobility frameworks. We propose a quantity-based pricing model
that targets delivery speed rather than order volume, addressing the primary
source of externalities while maintaining net welfare gains. This approach
offers a pragmatic, equity-conscious strategy to curb delivery-related
congestion, emissions, and safety risks, especially in dense urban cores.",2025-10-30 16:05:21+00:00,"['Runyu Wang', 'Haotian Zhong']",econ.GN
http://arxiv.org/abs/2510.26857v1,Political Power and Mortality: Heterogeneous Effects of the U.S. Voting Rights Act,"We study the health consequences of redistributing political power through
the 1975 extension of the Voting Rights Act, which eliminated barriers to
voting for previously disenfranchised nonwhite populations. The intervention
led to broad declines in under-five mortality but sharply contrasting effects
in other age groups: mortality fell among non-white children, younger adults,
and older women, yet rose among whites and older non-white men. These
differences cannot be reconciled by changes in population composition or
material conditions. Instead, we present evidence suggesting psychosocial
stress and retaliatory responses arising from perceived status threat as key
mechanisms.",2025-10-30 16:00:02+00:00,"['Atheendar Venkataramani', ""Rourke O'Brien"", 'Elizabeth Bair', 'Christopher Lowenstein']",econ.GN
