id,title,published_date,authors,primary_category,summary,year
http://arxiv.org/abs/2012.15716v1,Assessing Sensitivity to Unconfoundedness: Estimation and Inference,2020-12-31 17:14:38+00:00,"['Matthew A. Masten', 'Alexandre Poirier', 'Linqi Zhang']",econ.EM,"This paper provides a set of methods for quantifying the robustness of
treatment effects estimated using the unconfoundedness assumption (also known
as selection on observables or conditional independence). Specifically, we
estimate and do inference on bounds on various treatment effect parameters,
like the average treatment effect (ATE) and the average effect of treatment on
the treated (ATT), under nonparametric relaxations of the unconfoundedness
assumption indexed by a scalar sensitivity parameter c. These relaxations allow
for limited selection on unobservables, depending on the value of c. For large
enough c, these bounds equal the no assumptions bounds. Using a non-standard
bootstrap method, we show how to construct confidence bands for these bound
functions which are uniform over all values of c. We illustrate these methods
with an empirical application to effects of the National Supported Work
Demonstration program. We implement these methods in a companion Stata module
for easy use in practice.",2020
http://arxiv.org/abs/2101.01093v1,Breaking Ties: Regression Discontinuity Design Meets Market Design,2020-12-31 09:00:13+00:00,"['Atila Abdulkadiroglu', 'Joshua D. Angrist', 'Yusuke Narita', 'Parag Pathak']",econ.EM,"Many schools in large urban districts have more applicants than seats.
Centralized school assignment algorithms ration seats at over-subscribed
schools using randomly assigned lottery numbers, non-lottery tie-breakers like
test scores, or both. The New York City public high school match illustrates
the latter, using test scores and other criteria to rank applicants at
``screened'' schools, combined with lottery tie-breaking at unscreened
``lottery'' schools. We show how to identify causal effects of school
attendance in such settings. Our approach generalizes regression discontinuity
methods to allow for multiple treatments and multiple running variables, some
of which are randomly assigned. The key to this generalization is a local
propensity score that quantifies the school assignment probabilities induced by
lottery and non-lottery tie-breakers. The local propensity score is applied in
an empirical assessment of the predictive value of New York City's school
report cards. Schools that receive a high grade indeed improve SAT math scores
and increase graduation rates, though by much less than OLS estimates suggest.
Selection bias in OLS estimates is egregious for screened schools.",2020
http://arxiv.org/abs/2012.15435v3,Transitional Dynamics of the Saving Rate and Economic Growth,2020-12-31 04:01:13+00:00,"['Markus Brueckner', 'Tomoo Kikuchi', 'George Vachadze']",econ.GN,"We estimate the relationship between GDP per capita growth and the growth
rate of the national savings rate using a panel of 130 countries over the
period 1960-2017. We find that GDP per capita growth increases (decreases) the
growth rate of the national savings rate in poor countries (rich countries),
and a higher credit-to-GDP ratio decreases the national savings rate as well as
the income elasticity of the national savings rate. We develop a model with a
credit constraint to explain the growth-saving relationship by the saving
behavior of entrepreneurs at both the intensive and extensive margins. We
further present supporting evidence for our theoretical findings by utilizing
cross-country time series data of the number of new businesses registered and
the corporate savings rate.",2020
http://arxiv.org/abs/2012.15371v1,The Economics of Variable Renewables and Electricity Storage,2020-12-30 23:54:19+00:00,"['Javier López Prol', 'Wolf-Peter Schill']",econ.GN,"The transformation of the electricity sector is a main element of the
transition to a decarbonized economy. Conventional generators powered by fossil
fuels have to be replaced by variable renewable energy (VRE) sources in
combination with electricity storage and other options for providing temporal
flexibility. We discuss the market dynamics of increasing VRE penetration and
their integration in the electricity system. We describe the merit-order effect
(decline of wholesale electricity prices as VRE penetration increases) and the
cannibalization effect (decline of VRE value as their penetration increases).
We further review the role of electricity storage and other flexibility options
for integrating variable renewables, and how storage can contribute to
mitigating the two mentioned effects. We also use a stylized open-source model
to provide some graphical intuition on this. While relatively high shares of
VRE are achievable with moderate amounts of electricity storage, the role of
long-term storage increases as the VRE share approaches 100%.",2020
http://arxiv.org/abs/2012.15367v3,Assessing the Sensitivity of Synthetic Control Treatment Effect Estimates to Misspecification Error,2020-12-30 23:35:30+00:00,"['Billy Ferguson', 'Brad Ross']",econ.EM,"We propose a sensitivity analysis for Synthetic Control (SC) treatment effect
estimates to interrogate the assumption that the SC method is well-specified,
namely that choosing weights to minimize pre-treatment prediction error yields
accurate predictions of counterfactual post-treatment outcomes. Our data-driven
procedure recovers the set of treatment effects consistent with the assumption
that the misspecification error incurred by the SC method is at most the
observable misspecification error incurred when using the SC estimator to
predict the outcomes of some control unit. We show that under one definition of
misspecification error, our procedure provides a simple, geometric motivation
for comparing the estimated treatment effect to the distribution of placebo
residuals to assess estimate credibility. When we apply our procedure to
several canonical studies that report SC estimates, we broadly confirm the
conclusions drawn by the source papers.",2020
http://arxiv.org/abs/2101.00009v3,Adversarial Estimation of Riesz Representers,2020-12-30 19:46:57+00:00,"['Victor Chernozhukov', 'Whitney Newey', 'Rahul Singh', 'Vasilis Syrgkanis']",econ.EM,"Many causal parameters are linear functionals of an underlying regression.
The Riesz representer is a key component in the asymptotic variance of a
semiparametrically estimated linear functional. We propose an adversarial
framework to estimate the Riesz representer using general function spaces. We
prove a nonasymptotic mean square rate in terms of an abstract quantity called
the critical radius, then specialize it for neural networks, random forests,
and reproducing kernel Hilbert spaces as leading cases. Our estimators are
highly compatible with targeted and debiased machine learning with sample
splitting; our guarantees directly verify general conditions for inference that
allow mis-specification. We also use our guarantees to prove inference without
sample splitting, based on stability or complexity. Our estimators achieve
nominal coverage in highly nonlinear simulations where some previous methods
break down. They shed new light on the heterogeneous effects of matching
grants.",2020
http://arxiv.org/abs/2012.15158v4,Testing the effectiveness of unconventional monetary policy in Japan and the United States,2020-12-30 13:58:56+00:00,"['Daisuke Ikeda', 'Shangshang Li', 'Sophocles Mavroeidis', 'Francesco Zanetti']",econ.GN,"Unconventional monetary policy (UMP) may make the effective lower bound (ELB)
on the short-term interest rate irrelevant. We develop a theoretical model that
underpins our empirical test of this `irrelevance hypothesis' based on the
simple idea that under the hypothesis, the short rate can be excluded in any
empirical model that accounts for alternative measures of monetary policy. We
test the hypothesis for Japan and the United States using a structural vector
autoregressive model with the ELB. We firmly reject the hypothesis but find
that UMP has had strong delayed effects.",2020
http://arxiv.org/abs/2012.15144v1,What is the impact of labor displacement on management consulting services?,2020-12-30 13:12:34+00:00,['Edouard Ribes'],econ.GN,"Labor displacement off-or nearshore is a performance improvement instrument
that currently sparks a lot of interest in the service sector. This article
proposes a model to understand the consequences of such a decision on
management consulting firms. Its calibration on the market of consulting
services for the German transportation industry highlights that, under
realistic assumptions, labor displacement translates in price decrease by-0.5%
on average per year and that for MC practices to remain competitive/profitable
they have to at least increase the amount of work they off/nears shore by +0.7%
a year.",2020
http://arxiv.org/abs/2012.15035v3,Measuring Human Adaptation to AI in Decision Making: Application to Evaluate Changes after AlphaGo,2020-12-30 04:34:46+00:00,"['Minkyu Shin', 'Jin Kim', 'Minkyung Kim']",cs.HC,"Across a growing number of domains, human experts are expected to learn from
and adapt to AI with superior decision making abilities. But how can we
quantify such human adaptation to AI? We develop a simple measure of human
adaptation to AI and test its usefulness in two case studies. In Study 1, we
analyze 1.3 million move decisions made by professional Go players and find
that a positive form of adaptation to AI (learning) occurred after the players
could observe the reasoning processes of AI, rather than mere actions of AI.
These findings based on our measure highlight the importance of explainability
for human learning from AI. In Study 2, we test whether our measure is
sufficiently sensitive to capture a negative form of adaptation to AI (cheating
aided by AI), which occurred in a match between professional Go players. We
discuss our measure's applications in domains other than Go, especially in
domains in which AI's decision making ability will likely surpass that of human
experts.",2020
http://arxiv.org/abs/2012.15007v4,Evolutionarily Stable (Mis)specifications: Theory and Applications,2020-12-30 02:33:15+00:00,"['Kevin He', 'Jonathan Libgober']",econ.TH,"Toward explaining the persistence of biased inferences, we propose a
framework to evaluate competing (mis)specifications in strategic settings.
Agents with heterogeneous (mis)specifications coexist and draw Bayesian
inferences about their environment through repeated play. The relative
stability of (mis)specifications depends on their adherents' equilibrium
payoffs. A key mechanism is the learning channel: the endogeneity of perceived
best replies due to inference. We characterize when a rational society is only
vulnerable to invasion by some misspecification through the learning channel.
The learning channel leads to new stability phenomena, and can confer an
evolutionary advantage to otherwise detrimental biases in economically relevant
applications.",2020
