,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
large language models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,99,618,8417,21625,29828,60615
language models llms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,158,4072,12051,18109,34394
deep neural networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,50,217,462,973,1718,2288,2734,2713,2426,2509,2181,1715,20024
experimental results show,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,10,25,61,70,109,122,141,229,326,513,811,1132,1470,1709,1917,1933,2048,2577,15225
convolutional neural networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,122,337,691,1165,1735,1816,1889,1814,1476,1322,1513,1261,15166
natural language processing,0,0,0,0,13,19,13,18,6,6,18,6,7,5,0,3,0,5,8,9,12,28,44,62,90,108,208,320,471,735,1132,1435,1603,2300,2684,2050,13418
experimental results demonstrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6,28,10,35,47,69,84,140,221,359,511,664,752,865,1684,2851,4056,12393
convolutional neural network,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,55,238,495,978,1438,1501,1639,1449,1182,989,974,865,11814
machine learning models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,19,23,82,129,388,635,1042,1280,1536,1900,2356,2169,11566
deep learning models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,24,45,165,324,651,1030,1238,1327,1746,2038,2103,10697
graph neural networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,72,369,856,1165,1517,1849,2098,2020,9963
deep reinforcement learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,121,327,684,964,1210,1295,1270,1297,1372,1349,9917
paper propose novel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,12,23,37,47,68,94,124,249,414,640,909,1075,1136,1165,1379,1358,1094,9835
large language model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,89,1294,3267,4661,9329
deep neural network,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,127,235,489,894,1154,1393,1275,1113,1036,847,590,9188
results show proposed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,26,67,57,79,116,141,182,274,363,533,754,950,1037,1049,928,732,682,7997
extensive experiments demonstrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,9,24,50,81,168,243,455,606,1037,1953,3088,7725
achieves stateoftheart performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,22,52,79,168,297,415,506,656,918,1358,2551,7043
generative adversarial networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,70,368,663,816,818,805,650,594,538,411,5744
neural networks cnns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,70,160,281,468,564,599,628,503,485,689,627,5102
machine learning algorithms,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,11,35,39,43,67,107,192,291,495,620,614,634,674,697,459,4990
partial differential equations,0,0,0,0,0,0,0,0,5,5,8,4,4,7,4,7,7,0,7,0,3,22,25,27,27,27,49,104,112,321,433,538,606,698,928,926,4904
graph neural network,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,214,438,630,723,833,892,874,4646
recurrent neural networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,23,35,143,352,491,543,597,519,442,342,344,390,378,4611
demonstrate effectiveness proposed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,11,20,31,36,51,88,135,224,332,447,528,489,753,768,610,4542
model predictive control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,20,28,64,44,104,151,286,405,473,530,609,810,954,4508
best knowledge first,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,18,27,32,58,76,78,114,168,254,379,434,496,535,566,554,655,4462
