,2003,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
average treatment effect,0,0,0,0,0,0,0,0,0,0,0,11,0,10,12,20,28,39,38,54,72,284
monte carlo simulations,0,0,0,0,0,0,0,0,0,0,0,4,0,13,19,23,25,21,36,45,61,247
large language models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,76,127,239
average treatment effects,0,0,0,0,0,0,0,0,0,0,0,0,6,21,14,11,12,28,23,33,32,180
panel data models,0,0,0,0,0,0,0,0,0,0,0,0,5,10,16,8,11,22,28,13,33,146
language models llms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,43,80,134
discrete choice models,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,14,23,9,22,14,21,124
machine learning methods,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,12,23,12,8,23,25,121
machine learning models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,15,23,18,17,29,114
heterogeneous treatment effects,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,6,12,15,13,25,22,112
finite sample performance,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,12,15,17,14,20,13,109
necessary sufficient conditions,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,13,14,20,5,13,20,93
regression discontinuity designs,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,10,14,6,10,13,22,92
principal component analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,8,8,12,16,18,83
monte carlo experiments,0,0,0,0,0,0,0,0,0,0,0,3,0,8,7,8,10,10,11,12,12,81
time series data,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,10,8,10,17,14,79
double machine learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0,10,18,25,78
machine learning techniques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,11,8,10,21,15,77
machine learning algorithms,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,17,12,12,8,12,7,76
finite sample properties,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,12,9,9,14,11,5,76
regression discontinuity design,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,12,8,8,9,20,75
necessary sufficient condition,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,5,12,13,12,7,14,74
consistency asymptotic normality,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,12,11,10,13,11,71
gdp per capita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,6,6,16,20,71
local average treatment,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,5,13,12,14,14,68
chain monte carlo,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,17,9,4,5,10,5,62
natural language processing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,4,13,18,12,62
markov chain monte,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,17,9,4,5,10,5,62
mean squared error,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,9,4,9,4,6,14,61
generalized method moments,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,9,6,14,4,13,60
synthetic control method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,11,10,14,10,58
causal machine learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,14,18,8,56
paper proposes new,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,7,8,11,8,8,56
debiased machine learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,5,12,18,55
treatment effect heterogeneity,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,9,12,12,10,55
time series models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,4,5,9,6,11,55
monte carlo simulation,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,5,6,7,13,9,54
consistent asymptotically normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,8,12,8,10,53
ordinary least squares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,11,12,18,53
conditional average treatment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,16,8,9,52
dynamic discrete choice,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,5,6,0,9,11,51
using machine learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,9,9,9,10,51
deep neural networks,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,9,7,5,3,6,9,51
twoway fixed effects,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,8,10,8,12,50
treatment effect estimation,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,7,0,13,7,10,49
financial time series,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,12,3,14,6,6,49
central limit theorem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,8,4,5,5,12,49
gross domestic product,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,6,8,7,6,5,48
machine learning approach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,3,7,13,11,47
maximum likelihood estimator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,3,7,5,7,3,47
linear regression model,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,5,7,0,10,7,7,47
treatment effect treated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,5,7,10,18,47
monte carlo study,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,7,6,7,5,7,47
randomized controlled trials,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,7,6,11,12,45
renewable energy sources,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,6,7,19,45
social cost carbon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,12,16,44
twostage least squares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,5,4,6,9,6,43
maximum likelihood estimation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,4,9,7,8,43
large language model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,26,43
sustainable development goals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,6,7,12,42
machine learning dml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,13,17,41
generative artificial intelligence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,19,41
doubledebiased machine learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,17,8,40
using panel data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,5,7,14,39
treatment effect ate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,7,15,39
time series forecasting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,7,8,14,39
time series analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,4,8,5,7,39
economic policy uncertainty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,6,4,3,10,38
paper introduces novel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,20,38
parallel trends assumption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,7,11,8,38
random utility model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,13,10,6,37
random utility models,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,4,6,14,3,36
provide necessary sufficient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,11,0,7,8,36
greenhouse gas emissions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,0,7,11,36
interactive fixed effects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,10,0,6,34
carlo simulations show,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,7,8,9,34
deep reinforcement learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,6,14,33
domestic product gdp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,5,6,4,3,33
inverse probability weighting,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,7,7,3,8,33
total factor productivity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,8,16,32
estimating causal effects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,8,11,32
expected utility theory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,0,0,8,7,32
discrete choice model,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,0,4,0,6,7,31
two empirical applications,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,9,11,31
multivariate time series,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,4,5,0,3,5,31
semiparametric efficiency bound,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,3,4,7,7,31
foreign direct investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,13,31
time series model,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,5,3,0,3,6,30
