,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
market,25,38,58,89,116,99,135,137,173,239,275,278,339,367,438,462,510,584,677,590,580,802,1090,1317,1375,1254,1606,1843,2090,17586
risk,0,12,0,6,47,43,31,35,49,113,99,98,232,270,437,343,470,574,554,494,512,577,706,1007,1032,950,884,1347,1433,12355
financial,13,12,24,43,75,65,72,75,96,128,154,153,201,244,285,354,447,433,392,398,476,530,665,851,928,807,1125,1603,1670,12319
models,6,16,12,21,19,37,35,28,88,119,117,150,215,266,232,268,277,376,402,404,352,505,696,792,780,843,1066,1627,1768,11517
price,14,28,54,54,64,55,75,105,100,176,175,146,191,272,287,300,344,401,426,438,436,526,642,688,761,710,827,773,967,10035
volatility,0,11,22,30,34,45,27,64,88,133,115,156,190,225,184,294,283,275,279,290,332,383,517,514,499,579,498,630,753,7450
optimal,0,17,10,0,0,19,11,15,39,38,81,62,118,172,186,202,251,348,341,392,388,407,549,586,635,560,564,580,703,7274
stock,16,26,37,49,32,75,85,128,132,156,134,101,142,139,181,183,232,243,217,213,232,353,511,547,559,527,649,719,520,7138
portfolio,0,21,0,14,28,36,16,18,47,43,60,57,89,131,102,138,184,218,199,263,252,305,394,479,521,502,670,709,752,6248
markets,0,16,26,39,37,68,68,66,77,119,110,108,138,162,180,204,193,251,222,221,222,306,303,482,445,341,431,564,822,6221
economic,0,0,6,13,10,10,13,29,37,39,40,47,77,115,129,129,124,183,225,230,261,244,277,576,612,451,498,621,977,5973
stochastic,0,16,21,18,29,30,30,36,43,72,90,100,128,208,155,217,226,237,309,292,253,346,416,411,375,388,347,483,498,5774
trading,0,6,7,24,18,17,27,29,40,43,43,67,67,117,148,145,144,178,214,207,211,263,351,445,513,364,563,625,659,5535
learning,0,0,0,0,0,0,0,0,0,0,15,0,8,0,18,21,17,19,34,42,140,209,363,609,651,660,739,980,969,5494
framework,0,6,0,7,7,9,12,11,25,29,26,41,65,89,92,119,134,146,150,189,148,215,278,383,395,347,506,718,1337,5484
process,0,0,14,7,15,16,16,29,47,70,120,128,157,178,212,187,244,232,215,236,295,269,332,366,368,384,398,442,473,5450
pricing,0,21,20,13,0,37,14,36,16,65,79,70,113,148,156,167,238,265,205,227,232,307,352,352,356,369,378,505,576,5317
distribution,20,25,23,76,52,88,122,144,172,176,139,152,149,189,155,169,220,259,166,205,200,190,244,290,334,299,301,340,381,5280
prices,0,6,10,29,12,25,34,25,38,62,68,79,99,122,112,183,206,205,202,204,205,246,292,381,381,430,395,441,481,4973
information,0,0,8,17,0,12,8,16,43,31,44,65,83,91,100,99,152,163,159,201,173,241,313,373,524,363,393,553,575,4800
network,0,0,0,0,0,0,0,13,25,9,58,31,55,55,92,106,127,170,197,187,171,267,351,500,443,428,359,527,445,4616
value,0,15,8,18,15,15,18,29,48,54,58,57,69,129,129,131,175,194,164,204,170,242,321,289,339,374,365,424,541,4595
impact,0,0,0,0,0,8,10,11,13,37,25,28,46,53,87,90,118,134,99,148,124,156,241,430,439,436,497,545,750,4525
dynamics,0,11,21,28,41,20,27,40,49,73,62,84,91,108,100,124,153,174,187,156,167,158,251,285,298,244,306,398,580,4236
order,0,7,7,8,34,25,22,24,25,38,65,71,90,95,123,196,152,176,205,223,274,214,257,304,328,270,317,327,357,4234
find,9,8,18,19,26,28,36,36,36,48,50,45,60,92,86,107,107,137,158,135,141,188,243,360,392,369,385,384,494,4197
function,6,9,7,14,26,35,31,46,43,75,67,83,95,131,142,141,143,175,162,231,202,236,253,307,273,253,323,305,341,4155
use,0,0,0,7,5,9,9,16,16,23,35,37,77,81,69,89,86,124,128,129,164,183,288,393,453,385,425,478,446,4155
asset,0,10,0,7,18,21,16,7,22,36,60,57,100,111,85,109,184,185,157,189,150,214,251,298,295,280,331,374,405,3972
methods,0,0,0,0,0,9,9,14,20,25,29,35,41,93,78,90,87,96,123,113,164,159,247,297,346,345,446,522,569,3957
large,0,13,8,13,20,37,26,24,31,47,64,45,61,87,95,117,122,140,131,154,136,158,191,270,240,251,373,477,568,3899
rate,0,24,0,17,17,11,25,28,46,47,73,60,72,93,108,138,171,145,188,178,167,171,226,304,275,275,285,319,388,3851
returns,0,9,26,30,37,61,37,56,62,83,51,51,64,90,89,84,115,133,114,123,130,170,200,264,230,299,342,378,501,3829
strategies,0,0,7,0,10,8,6,9,10,24,41,54,50,50,76,70,96,110,125,129,156,143,270,262,311,245,351,491,604,3708
first,0,8,0,10,17,12,10,14,15,20,34,49,55,59,88,95,139,123,130,118,155,159,241,328,354,320,342,315,454,3664
investment,0,7,0,0,0,21,0,12,29,17,41,35,39,41,89,72,116,126,112,142,122,159,238,231,267,268,376,453,434,3447
provide,0,0,0,0,5,11,0,8,13,15,16,41,53,57,69,90,122,113,138,118,111,179,220,314,308,305,332,401,405,3444
empirical,6,0,17,24,19,30,20,38,40,65,56,60,48,49,71,76,101,97,131,139,119,146,148,217,262,232,328,347,534,3420
series,8,0,10,28,21,22,22,52,51,72,73,87,79,73,98,95,125,137,140,141,161,142,227,245,216,227,238,318,294,3402
theory,0,20,21,22,28,36,28,25,41,39,45,59,80,80,99,134,151,148,172,152,173,166,182,217,206,164,253,260,362,3363
strategy,0,12,9,0,0,8,0,12,14,8,46,27,39,82,79,100,101,118,108,111,151,161,247,278,271,245,316,377,421,3341
research,0,0,0,0,0,0,0,0,0,11,0,9,7,24,21,31,43,44,39,61,60,133,154,267,374,339,500,615,606,3338
measures,0,0,0,0,10,12,0,15,7,54,35,34,47,62,142,119,98,147,137,124,125,154,171,333,282,293,263,368,284,3316
case,0,14,6,0,18,7,23,22,20,39,44,46,49,97,106,114,155,156,163,143,177,169,197,258,252,244,204,259,295,3277
options,0,0,0,24,0,36,0,25,7,29,37,76,101,134,80,109,133,157,139,175,138,147,224,230,239,205,238,261,278,3222
policy,0,0,0,0,0,0,0,0,0,12,11,9,12,21,33,33,51,64,66,53,84,68,196,361,368,302,349,363,675,3131
well,0,10,12,9,15,21,21,23,26,44,40,47,56,79,75,97,128,116,115,130,135,146,208,285,284,255,238,241,230,3086
processes,0,6,9,0,14,7,18,27,31,44,52,89,83,126,96,124,142,125,170,134,162,139,213,185,231,151,188,251,253,3070
option,0,17,0,13,0,21,10,28,14,41,38,51,69,89,72,94,133,134,151,121,204,176,204,223,262,189,219,210,252,3035
networks,0,0,0,0,0,0,0,0,7,8,14,13,25,35,57,53,56,113,93,110,112,161,313,296,265,272,304,350,354,3011
present,0,5,9,16,19,15,19,27,32,55,46,64,67,82,81,92,98,135,127,132,138,133,169,236,226,219,232,269,249,2992
effects,0,0,0,7,12,8,10,15,27,14,17,19,25,38,40,44,55,54,73,79,78,97,129,255,336,269,331,375,556,2963
general,0,16,0,9,11,14,13,11,39,36,37,50,66,93,87,131,134,161,151,151,158,160,151,194,225,188,219,204,247,2956
numerical,0,0,9,5,5,14,14,15,16,17,34,30,46,100,86,84,93,137,144,168,154,183,205,212,200,202,205,264,301,2943
agents,0,0,0,21,29,11,30,35,63,39,63,87,57,58,54,85,77,93,114,101,125,123,135,152,212,192,232,337,382,2907
effect,0,0,0,9,10,11,9,11,23,19,27,26,44,57,40,57,81,70,83,108,73,102,170,272,349,270,276,283,392,2872
random,0,11,15,11,38,22,37,36,55,48,56,85,81,113,108,130,142,100,130,128,116,119,149,169,136,165,145,252,239,2836
dynamic,0,0,0,0,0,6,0,0,11,15,24,22,41,58,64,70,98,94,113,122,106,128,189,221,218,195,235,341,460,2831
structure,0,8,0,8,15,20,0,21,36,28,45,45,45,56,66,111,78,163,148,112,111,182,177,241,206,166,178,210,336,2812
growth,0,10,0,0,0,0,22,0,19,34,28,60,40,39,49,86,81,60,186,173,129,121,125,180,302,188,206,266,406,2810
number,0,5,0,13,26,20,14,19,27,30,54,74,45,61,71,64,77,119,105,136,118,137,185,283,264,227,209,243,156,2782
measure,0,0,0,0,13,17,0,7,26,39,27,33,51,62,76,96,125,149,149,123,137,128,187,274,208,204,181,223,242,2777
may,0,6,0,6,13,17,13,30,30,15,31,23,54,53,73,82,69,90,106,90,78,95,149,231,290,217,250,325,325,2761
across,0,0,0,5,0,0,0,5,0,0,5,12,17,17,15,17,34,28,43,61,48,78,104,204,186,217,263,442,874,2675
systems,0,0,6,10,15,19,13,13,13,31,26,33,39,42,37,90,75,104,113,91,77,137,137,222,193,151,248,296,436,2667
optimization,0,9,0,0,0,0,0,8,11,10,22,16,34,38,34,42,41,88,76,105,110,132,180,213,237,211,260,309,478,2664
index,9,0,13,13,14,26,27,40,54,60,40,35,54,54,70,57,62,81,82,82,84,72,141,236,225,192,206,268,333,2630
work,0,0,0,0,0,0,7,9,9,18,31,34,33,46,46,46,47,70,69,52,86,115,181,213,262,235,280,330,403,2622
costs,0,0,7,0,0,0,0,0,0,14,18,27,16,44,42,93,113,135,113,127,105,102,140,181,232,168,248,274,413,2612
probability,0,0,15,14,21,25,27,33,57,56,56,61,55,109,70,110,107,110,119,97,146,121,142,182,162,176,167,175,190,2603
high,0,0,0,9,6,5,9,18,23,18,15,21,43,39,73,71,81,67,71,85,86,110,170,214,251,249,234,250,340,2558
behavior,0,0,15,29,29,18,25,36,44,54,57,37,41,74,69,60,79,75,83,101,81,118,122,154,228,116,214,254,324,2537
social,0,0,0,0,0,0,0,0,8,7,8,16,0,0,20,45,28,60,59,67,42,96,130,308,349,296,298,339,358,2534
significant,0,0,0,0,0,5,8,0,0,11,8,16,22,33,39,26,38,47,64,53,51,64,120,185,215,228,329,443,502,2507
solution,0,0,0,0,0,8,9,15,14,15,33,44,40,58,59,79,106,111,110,119,124,153,159,197,167,193,213,236,219,2481
consider,0,6,5,6,7,0,13,20,11,29,36,33,50,69,84,79,117,124,137,144,128,157,164,200,198,172,197,169,122,2477
utility,0,0,0,0,0,11,0,15,23,19,70,37,58,55,122,82,79,117,108,117,106,128,165,165,183,170,178,258,206,2472
power,6,7,13,29,33,24,44,40,49,48,31,37,37,56,54,51,67,93,73,79,99,94,151,171,266,196,172,173,260,2453
level,0,0,0,7,12,8,7,13,14,17,22,37,32,48,78,42,65,79,87,107,82,101,134,231,243,197,251,258,269,2441
assets,0,0,8,0,12,18,0,13,10,30,24,27,28,63,54,68,84,90,88,79,88,137,174,186,198,182,237,287,251,2436
given,0,9,0,7,13,10,11,19,23,38,32,52,69,71,83,97,111,110,126,121,131,133,153,152,163,172,189,187,141,2423
prediction,0,0,0,0,0,0,11,0,0,0,14,16,14,21,22,26,18,26,30,41,56,112,186,236,217,280,259,437,298,2320
within,0,0,0,0,11,0,9,8,18,19,16,18,38,32,45,39,56,53,50,78,71,75,122,148,171,128,279,394,434,2312
conditions,0,0,0,0,0,0,0,8,19,10,26,40,25,58,50,84,93,92,116,111,79,111,125,167,174,165,178,221,358,2310
problems,0,0,0,0,0,0,8,0,8,18,30,26,27,56,57,82,81,77,95,102,113,119,144,211,244,197,202,249,155,2301
capital,0,10,0,0,0,8,16,22,17,19,14,17,29,55,46,54,83,87,81,90,114,132,114,177,154,152,281,217,303,2292
set,0,0,0,0,6,11,0,14,16,34,19,20,35,42,50,55,84,84,104,113,98,130,140,238,167,217,199,199,215,2290
factors,0,0,0,0,0,0,0,0,12,9,23,20,38,26,27,30,30,64,41,69,60,73,103,231,261,200,281,337,353,2288
return,0,0,0,26,15,26,5,13,34,42,30,59,54,65,84,60,64,59,54,80,98,86,144,175,130,181,228,210,265,2287
deep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,43,113,181,276,316,258,303,377,397,2282
findings,0,0,0,0,0,0,0,0,5,9,6,5,8,17,29,23,19,25,42,38,30,57,79,129,186,175,275,423,691,2271
parameters,0,0,0,7,0,22,7,11,24,22,41,41,34,75,43,71,78,97,126,135,90,148,140,171,190,145,178,183,185,2264
expected,0,0,0,0,16,11,0,7,18,16,23,24,45,54,65,67,75,87,94,112,101,131,191,196,151,198,166,199,210,2257
control,0,0,0,0,0,0,0,0,8,9,14,20,27,56,50,51,61,82,87,87,108,129,134,155,205,186,186,244,327,2226
countries,0,0,0,0,0,0,6,0,10,11,26,31,17,15,42,45,43,70,129,78,71,79,131,242,303,203,173,212,287,2224
equilibrium,0,0,0,0,0,0,8,7,0,21,25,33,23,46,48,56,64,101,123,93,108,107,143,159,177,137,208,215,320,2222
global,0,0,0,6,0,0,0,0,7,10,14,14,19,39,39,66,80,74,55,75,60,77,122,207,249,172,220,273,340,2218
trade,0,0,0,0,0,0,7,9,10,15,36,20,20,27,67,78,69,80,117,79,77,86,124,194,205,191,184,222,293,2210
properties,8,0,15,25,23,14,20,25,39,46,70,55,72,67,78,84,100,97,101,108,120,96,131,137,149,111,127,127,141,2186
stocks,0,0,8,23,20,17,23,26,36,45,50,41,56,43,50,40,67,86,84,92,85,129,145,136,153,190,188,181,168,2182
exchange,12,0,14,7,21,18,49,38,51,72,41,48,60,56,44,57,68,86,83,81,79,74,136,182,146,120,194,160,183,2180
distributions,0,0,19,13,26,34,40,40,53,60,34,55,56,87,60,70,69,101,78,90,95,103,122,132,143,106,143,177,168,2174
future,0,0,0,5,0,7,9,0,0,15,14,27,24,16,24,39,45,43,50,57,71,86,158,198,261,204,244,295,282,2174
particular,0,5,0,10,10,5,11,12,27,29,33,35,45,57,58,80,95,102,114,107,106,111,143,181,202,146,162,152,127,2165
statistical,0,0,11,19,18,25,35,29,35,57,41,46,52,57,69,63,73,95,89,80,70,91,122,141,123,155,186,192,187,2161
novel,0,0,0,0,0,5,0,0,0,0,5,11,11,18,13,20,21,39,34,49,54,69,113,172,171,208,285,419,438,2155
cost,0,0,0,0,0,0,0,0,0,6,8,8,5,33,38,35,122,54,64,66,87,113,159,170,227,189,226,253,275,2138
three,0,0,0,0,0,0,11,8,8,11,11,26,29,31,24,37,69,62,68,56,90,82,144,163,202,171,252,215,365,2135
rates,0,8,7,0,19,13,17,15,15,42,24,29,50,53,58,54,63,64,85,105,72,127,125,148,156,169,193,208,210,2129
correlation,0,0,11,12,22,20,24,30,34,56,60,56,64,78,63,71,74,97,80,76,68,96,114,152,120,104,189,174,179,2124
demonstrate,0,0,0,5,6,0,6,5,7,0,8,14,18,36,26,30,33,45,44,56,56,84,132,136,153,155,242,350,461,2108
potential,0,0,0,0,6,0,0,0,12,10,9,15,11,16,21,33,28,45,33,37,41,53,93,155,187,164,314,435,387,2105
credit,0,0,0,0,0,0,0,0,0,13,19,28,101,64,91,67,74,85,93,74,87,96,103,167,156,148,147,246,236,2095
interest,0,13,10,0,0,0,7,15,15,25,27,27,48,36,76,69,86,82,80,118,76,135,121,157,124,181,181,180,204,2093
evidence,0,0,6,6,7,6,7,17,10,26,13,21,15,17,25,20,38,43,40,65,50,69,85,173,189,229,236,222,448,2083
several,0,0,0,0,9,10,14,10,10,17,27,35,33,63,58,73,72,78,97,92,80,113,134,177,173,162,174,212,150,2073
management,0,0,0,0,7,6,0,0,0,10,14,7,29,24,20,39,72,50,46,55,61,79,114,180,194,193,232,299,334,2065
finance,0,8,0,5,0,11,10,9,7,18,19,17,31,36,39,54,60,53,71,62,75,74,115,163,172,193,208,255,300,2065
equation,0,10,0,7,14,26,13,25,21,29,25,42,54,76,55,66,97,105,106,140,81,107,138,139,145,117,134,129,156,2057
robust,0,0,0,0,0,0,0,0,0,11,13,15,17,19,31,38,52,37,72,78,68,92,104,168,164,174,205,305,386,2049
terms,0,5,0,6,11,13,8,11,19,22,34,35,41,61,71,59,72,88,75,87,97,98,143,161,141,185,174,166,159,2042
various,0,0,0,0,5,7,9,0,7,22,26,15,32,33,32,36,49,54,49,66,60,80,135,172,199,166,244,335,202,2035
among,0,0,0,0,0,8,11,9,10,19,20,13,27,31,31,48,49,56,68,63,71,69,103,190,218,193,208,235,274,2024
functions,0,0,0,0,8,11,10,9,13,22,31,37,44,62,74,66,54,87,75,108,116,112,140,126,131,138,196,167,182,2019
