,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
prove,0,5,17,63,116,196,237,296,343,512,699,803,928,1244,1609,1946,2362,2906,3405,4052,4457,5271,6248,7145,8012,8751,9634,9924,10717,11322,11765,12807,12727,12611,13028,14078,14982,195218
space,0,22,32,164,265,402,423,527,663,861,1108,1266,1376,1588,1878,2242,2682,3061,3509,3943,4146,5062,6088,6965,7112,7648,8305,8524,9053,9423,10256,10667,10532,10549,11105,11754,11997,175198
number,0,0,10,48,61,105,146,167,240,369,513,567,662,887,1038,1358,1735,2205,2510,2947,3293,4118,5089,5809,6434,7134,7880,8575,9223,9320,10234,11131,10864,10625,11217,11824,11797,160135
theory,0,0,20,125,235,290,337,480,575,820,1033,1216,1204,1469,1758,2255,2324,2793,3056,3379,3809,4592,5355,5860,6301,6592,7026,7194,7637,8037,8612,9467,9261,8949,10075,10897,12003,155036
function,0,0,17,60,82,136,133,193,250,376,494,626,653,836,1050,1325,1706,2074,2664,2856,3084,3934,4653,5360,5810,6252,6840,7512,8127,8686,9301,10601,10265,10338,11071,11509,11923,150797
functions,0,0,12,54,168,208,217,249,337,449,592,725,837,1004,1244,1563,1766,2179,2566,2772,3120,3825,4579,5184,5890,6148,6980,7317,7903,8354,8730,10030,9359,9311,10097,10516,10909,145194
finite,0,0,17,55,88,168,214,237,304,525,572,724,764,1001,1195,1642,1839,2233,2898,2970,3458,3985,4716,5446,6181,6658,7181,7676,8178,8304,8522,9193,8883,8851,9402,10298,10647,145025
group,0,0,16,136,186,363,429,487,651,918,1020,1383,1394,1773,1995,2493,2863,3263,3562,3730,4459,5001,5325,5527,5960,6388,6758,6879,7222,7228,7660,8198,7581,7948,8198,8444,9033,144471
case,0,0,7,50,120,176,200,279,330,523,663,819,853,1032,1189,1566,1906,2234,2874,3002,3460,4295,4757,5369,6012,6592,7072,7333,7708,7961,8472,9270,8941,8796,9106,9673,9851,142491
equations,0,0,0,44,76,86,121,163,263,310,541,631,790,854,1054,1121,1562,1822,2352,2562,2879,3783,4104,4903,5581,5901,6147,6534,7086,7707,8600,9279,9180,9233,10010,11136,11214,137629
systems,0,0,0,29,45,64,86,127,175,328,451,562,582,735,874,1059,1364,1459,1867,2061,2419,2997,3506,4380,4979,5501,6037,6370,7139,7215,7953,9194,9177,9409,10340,11312,12400,132196
