,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
partial differential equations,0,0,0,4,6,0,6,0,6,21,22,24,24,36,44,58,73,81,105,143,140,190,232,249,283,374,358,404,478,498,628,636,662,709,842,962,964,9262
necessary sufficient conditions,0,0,0,0,0,8,7,8,9,26,20,34,34,46,63,66,82,115,113,123,153,163,214,225,262,289,307,285,329,324,312,355,332,351,417,419,433,5924
stochastic differential equations,0,0,0,0,0,0,0,0,0,0,0,6,0,6,12,13,36,50,89,72,101,156,141,190,228,219,221,235,258,293,327,351,304,305,298,400,438,4749
central limit theorem,0,0,0,0,0,0,0,0,0,4,4,6,15,22,25,44,55,82,104,100,106,113,143,153,145,194,216,206,228,241,252,260,253,276,296,327,361,4231
finite element method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,11,8,30,28,55,90,129,174,187,212,238,285,268,334,321,295,321,370,404,3771
necessary sufficient condition,0,0,0,0,6,4,0,0,6,8,16,17,15,30,27,53,60,68,81,63,98,117,136,144,138,177,220,217,169,202,216,230,200,248,213,198,246,3623
upper lower bounds,0,0,0,0,0,0,0,0,0,9,5,4,10,16,20,16,41,39,51,65,72,87,125,124,139,157,160,197,189,191,188,241,228,219,214,270,320,3397
quantum field theory,0,0,0,4,10,21,20,32,30,36,63,51,44,72,71,74,83,84,85,91,117,131,130,158,132,100,137,157,145,154,140,111,130,148,178,193,193,3325
ordinary differential equations,0,0,0,0,0,0,0,0,0,4,10,28,17,16,14,26,28,35,70,63,67,93,84,127,137,146,130,162,148,154,176,240,222,253,285,282,266,3283
nonlinear schrodinger equation,0,0,0,0,0,0,0,4,4,8,15,7,14,11,12,27,30,49,55,53,63,97,89,114,96,165,134,146,182,190,209,222,246,201,261,240,237,3181
channel state information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,40,63,78,108,96,107,153,168,183,192,207,175,172,233,234,249,201,200,183,3071
algebraically closed field,0,0,0,0,6,4,4,7,7,11,12,30,22,31,35,45,55,80,84,84,99,105,129,130,149,151,146,161,175,158,148,146,149,142,158,157,168,2988
optimal control problem,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,8,11,15,19,12,28,34,53,65,98,110,141,164,181,222,277,216,268,290,290,322,2832
partial differential equation,0,0,0,0,0,0,0,0,0,4,7,5,7,9,8,12,22,21,32,33,31,67,70,79,104,90,133,122,138,166,201,194,204,191,230,250,255,2685
optimal control problems,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,11,11,21,9,20,18,30,39,60,79,86,113,106,162,150,174,211,261,232,281,293,242,2625
boundary value problem,0,0,0,0,0,0,0,0,0,4,18,6,5,12,6,14,25,26,29,29,52,43,78,92,109,122,151,139,183,210,179,203,167,134,178,183,188,2585
boundary value problems,0,0,0,0,0,0,0,5,5,0,15,4,7,11,18,30,23,32,41,34,55,43,76,82,136,120,149,135,174,179,144,172,144,140,156,129,150,2409
mean curvature flow,0,0,0,0,0,0,0,0,0,0,0,0,9,21,15,17,22,22,35,36,72,53,91,92,97,94,113,125,135,147,164,161,159,159,141,153,184,2317
simulation results show,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,28,21,33,39,67,88,83,114,157,158,168,190,191,200,189,160,153,113,2170
mapping class group,0,0,0,0,0,10,6,4,15,13,18,30,20,23,40,35,76,59,84,68,80,59,82,43,62,68,72,112,98,98,120,142,131,102,134,98,122,2124
numerical results show,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,16,9,27,27,38,75,118,86,140,121,165,182,163,209,214,190,161,144,2097
give necessary sufficient,0,0,0,0,0,5,3,0,6,11,10,17,18,27,25,38,37,51,51,38,62,70,86,92,96,101,113,120,111,129,108,120,100,124,91,81,77,2018
results show proposed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,18,25,37,57,79,82,118,136,133,172,202,204,200,166,145,136,1934
stochastic differential equation,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,13,26,37,39,37,51,81,71,91,89,95,94,107,101,110,137,130,115,141,143,199,1916
fractional brownian motion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,39,41,65,66,84,74,77,69,108,66,80,108,96,125,85,117,109,109,136,111,122,1905
multipleinput multipleoutput mimo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,17,17,32,38,41,38,69,78,103,126,124,102,120,143,184,182,158,170,134,1894
deep neural networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,47,134,208,249,252,224,261,209,217,1814
stochastic gradient descent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,9,18,25,54,73,124,181,250,201,178,211,232,233,1804
main result paper,0,0,0,3,5,5,6,5,4,13,9,15,17,27,23,29,30,32,42,45,59,71,78,67,68,91,84,102,98,79,113,97,92,84,111,85,71,1760
model predictive control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,20,31,38,53,64,60,104,163,163,162,185,198,223,248,1729
von neumann algebras,0,0,0,0,4,4,7,6,7,10,14,20,14,21,38,35,41,64,42,37,40,49,57,76,62,77,77,71,80,91,75,80,87,85,101,107,134,1713
dirichlet boundary conditions,0,0,0,0,0,0,0,0,0,5,7,5,6,6,6,20,14,21,21,34,38,30,37,61,60,76,71,69,104,99,97,117,137,108,116,128,184,1677
state information csi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,16,29,28,40,41,40,71,75,87,95,106,99,92,146,145,164,126,126,124,1663
give new proof,0,0,0,0,4,4,0,6,9,4,9,14,15,19,27,33,26,36,42,52,35,50,59,66,83,87,91,102,87,94,94,78,92,86,85,86,84,1659
lower upper bounds,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,5,5,23,23,28,33,50,57,54,53,85,77,97,91,98,104,125,123,117,128,131,140,1659
prove existence uniqueness,0,0,0,0,0,0,0,0,0,0,0,6,4,13,3,4,15,23,27,40,38,48,54,55,54,75,77,85,93,98,113,124,134,99,110,127,129,1648
differential equations pdes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,7,31,25,38,20,43,51,57,96,112,126,181,230,290,302,1617
stochastic partial differential,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,19,18,25,31,27,61,63,64,64,76,74,98,84,108,125,88,98,103,112,91,132,1578
riemann zeta function,0,0,0,0,0,0,0,0,0,13,6,5,11,16,15,25,27,36,56,38,35,53,48,80,70,43,47,71,80,84,98,89,110,85,113,116,93,1563
field characteristic zero,0,0,0,0,0,0,5,3,0,13,12,12,12,10,20,32,34,45,36,48,45,55,58,58,60,72,86,83,88,73,75,83,62,80,75,100,107,1542
finite element methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,5,7,30,40,29,53,59,84,79,106,107,118,112,109,137,132,169,148,1535
law large numbers,0,0,0,0,0,0,0,0,0,0,5,3,3,6,7,17,28,39,33,35,54,39,49,62,49,62,57,79,85,75,80,115,92,97,76,136,152,1535
independent identically distributed,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,9,20,22,30,31,27,45,52,69,67,76,76,85,86,75,102,103,100,97,111,96,119,1509
random matrix theory,0,0,0,0,0,0,0,0,0,8,11,10,5,21,15,20,29,32,34,44,44,62,55,65,62,80,96,77,54,73,65,78,108,81,80,95,89,1493
conformal field theory,0,0,0,5,23,10,8,9,19,27,19,36,24,26,43,37,32,45,37,30,35,45,57,74,60,44,57,75,57,60,66,73,75,62,61,90,71,1492
closed field characteristic,0,0,0,0,0,0,0,5,0,7,5,16,11,16,14,26,22,50,39,43,49,60,67,64,72,70,76,82,95,71,78,57,65,64,78,78,78,1458
von neumann algebra,0,0,0,3,3,0,7,4,7,4,9,18,13,24,30,35,48,49,53,41,57,51,49,54,75,78,61,56,44,62,50,66,58,53,83,80,77,1402
