,1986,1988,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
quantum,0,0,0,164,1216,2373,3105,3947,4595,5504,6624,7573,8578,9787,10790,11985,13036,14059,14772,15114,15562,16999,18724,20068,22126,23204,24820,26781,28952,30484,33674,36898,42677,46591,50655,55725,65049,74892,767103
field,0,0,0,194,1229,2281,3108,4011,4696,5791,7483,8397,9387,9690,10212,11089,12059,12205,12976,13768,14369,15637,16668,17818,18609,20146,20508,21640,22859,23182,24247,25174,26124,26266,25618,26775,28309,29188,531713
energy,0,0,0,28,480,1320,2092,2694,3415,4478,5418,6652,7527,7778,8587,9530,10295,11332,11789,13008,13354,14251,14826,16421,16665,17861,17874,19534,19830,20526,20993,22055,23477,23913,23431,24456,26332,28666,470888
theory,0,0,0,316,1950,3150,3952,4957,5609,6713,7729,8325,8623,8709,9500,9655,10237,10489,10486,10875,11325,12224,12242,13390,14034,14481,14772,16231,16020,16445,17283,17559,19019,18566,18762,19589,20498,21122,414837
mass,0,0,0,17,595,1426,2283,2961,3536,4416,5363,6288,6463,6973,7307,7826,8769,9291,10020,10950,11145,12114,13123,14120,14532,15027,15281,15763,16161,16233,16202,16856,17782,17463,17951,17842,19332,20587,381998
magnetic,0,0,0,18,292,579,882,1413,1851,2623,3329,4144,4717,5143,5817,6339,7249,7491,8406,9290,10409,11120,12094,13158,13860,14693,15206,15975,17172,18205,18563,19589,20914,20418,20251,20427,22225,23578,377440
phase,0,0,0,24,611,1103,1699,2263,2707,3534,4196,4904,5331,5741,6209,6878,7413,8053,8485,8902,9514,9996,10991,11608,12221,13017,13530,14743,15366,15421,16846,17921,19305,19716,19338,20796,21931,24302,364615
models,0,0,0,147,979,1842,2416,3035,3602,4294,4879,5266,5558,5868,6286,6587,6957,7401,7688,8441,8839,9624,10314,11088,11722,12570,12623,13263,13449,13833,14596,15753,17576,18125,18671,20521,23866,27578,355257
state,0,0,0,14,243,830,1208,1704,2083,2858,3652,4165,4976,5396,6063,6781,7313,7734,8120,8462,9095,9569,10011,11368,12128,12623,13077,13476,14615,14528,15216,16195,17360,17973,17926,19281,20712,21431,338186
states,0,0,0,62,461,910,1165,1846,2205,2921,3350,3979,4559,4990,5483,6138,6570,6813,7012,7693,8051,8438,9323,10350,11208,12029,12874,13169,14722,14780,15726,16748,17913,18472,18451,20027,21937,23995,334370
systems,0,0,0,19,262,747,1047,1635,2087,2595,3216,3492,4085,4744,5077,5535,5839,6656,6482,6900,7205,7818,8763,9341,10272,11393,11904,12580,13681,14121,15594,16853,18662,18856,19303,21142,25136,30020,333062
find,0,0,0,37,416,997,1553,1959,2519,2975,3643,4188,4706,5012,5369,6044,6502,7183,7487,8140,8894,9608,10605,11299,11980,12255,12957,13660,14237,14752,15631,15993,17837,17696,17777,17783,18136,17183,327013
present,0,0,0,23,348,905,1389,1911,2446,3250,3966,4739,5292,5749,6307,6797,7600,8016,8409,9028,9026,9750,10423,11274,11840,12375,12660,13039,13486,13822,14777,15218,16250,16110,15946,16748,17271,19376,325566
properties,0,0,0,28,231,604,950,1471,1850,2372,3138,3526,4054,4492,4826,5207,5864,6201,6680,7171,7674,8298,8991,9650,10372,11227,11747,12645,13345,13633,14809,15785,17581,17181,17124,19121,20956,21497,310301
