,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
neural networks,0,0,9,5,0,13,16,13,12,18,14,18,16,14,18,18,19,44,33,22,53,47,71,98,117,213,246,355,410,369,472,487,570,529,4339
machine learning,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,10,5,0,10,11,15,32,25,44,75,135,228,350,424,407,466,583,628,618,4076
deep learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,50,113,178,326,357,343,430,507,536,584,3441
neural network,0,0,0,0,0,7,13,16,10,13,23,18,8,13,4,16,5,20,16,20,38,36,55,56,85,165,190,255,334,314,350,312,355,322,3069
gene expression,0,0,0,0,0,0,0,0,9,8,20,28,36,42,52,75,45,55,87,70,151,159,128,140,150,123,124,140,134,127,114,161,206,256,2640
results show,0,0,0,0,0,0,0,4,0,3,4,6,12,9,15,18,24,14,26,24,41,47,62,62,78,84,94,110,161,120,143,144,141,187,1633
experimental data,0,0,0,0,0,4,4,11,7,6,17,25,27,25,31,28,26,60,46,45,73,83,75,62,81,73,83,65,91,88,81,99,100,108,1524
time series,0,0,0,0,0,0,7,4,16,7,14,11,21,19,23,21,17,14,31,19,36,40,66,29,85,92,65,72,136,86,108,151,138,113,1441
mathematical model,0,0,0,0,0,3,0,0,0,3,3,6,5,13,20,22,12,32,34,44,34,68,54,87,88,75,68,85,155,107,80,80,94,100,1372
differential equations,0,0,0,0,0,0,0,0,8,0,6,4,6,14,18,16,23,35,44,50,40,41,61,58,67,49,62,98,156,84,81,88,125,136,1370
free energy,0,0,0,0,0,8,11,7,23,14,18,27,31,22,35,29,30,41,47,34,58,83,40,49,77,64,48,54,86,58,65,75,67,80,1281
monte carlo,0,0,0,0,6,12,13,19,18,25,27,36,27,36,31,40,20,33,34,57,43,54,53,57,52,57,58,53,93,74,51,60,65,74,1278
biological systems,0,0,0,0,0,0,4,6,6,3,8,9,24,13,11,20,28,43,58,30,44,41,53,59,60,43,69,52,69,56,61,105,129,161,1265
numerical simulations,0,0,0,0,0,9,5,8,7,13,8,14,17,13,16,24,14,25,35,36,31,53,49,67,59,65,57,63,113,91,43,73,82,115,1205
language models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,22,71,201,428,469,1201
drug discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,7,11,15,46,82,93,144,220,270,272,1176
results suggest,0,0,0,0,0,0,4,3,6,5,4,10,13,18,12,20,23,26,16,22,31,59,40,56,70,58,61,86,94,79,75,78,64,94,1127
wide range,0,0,0,0,0,0,4,6,6,5,6,7,7,13,17,22,15,19,25,23,44,51,44,50,48,52,59,59,86,80,62,97,83,101,1091
artificial intelligence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,7,22,32,47,91,86,133,166,222,254,1077
human brain,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,11,6,9,8,21,27,41,35,86,57,70,84,65,61,109,100,125,126,1053
molecular dynamics,0,0,0,0,0,0,11,12,9,10,8,17,25,9,6,25,16,32,21,31,34,63,40,59,53,39,56,47,57,53,80,66,76,85,1040
data analysis,0,0,0,0,0,0,0,0,3,4,0,0,0,5,0,14,11,7,9,16,16,29,43,43,44,41,54,49,108,65,100,104,147,123,1035
population dynamics,0,0,0,0,0,3,0,10,11,4,8,17,11,15,18,17,28,19,44,26,30,54,41,34,58,52,41,54,59,46,58,65,101,104,1028
amino acid,0,0,0,0,0,5,9,8,13,20,13,21,40,32,36,20,30,21,27,16,38,48,31,46,49,37,29,47,52,32,60,57,80,85,1002
reaction networks,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,11,13,18,12,43,42,44,42,31,39,55,83,60,55,68,75,61,82,107,954
learning models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,14,32,57,76,83,110,148,206,204,939
widely used,0,0,0,0,0,0,0,0,0,3,3,3,7,8,3,7,9,12,15,20,21,39,33,46,49,35,43,77,84,70,70,72,92,117,938
neural activity,0,0,0,0,0,0,0,4,0,0,3,3,3,4,0,7,6,10,6,18,25,17,17,40,38,39,59,43,76,60,54,101,122,170,925
population size,0,0,0,0,0,0,5,4,0,3,0,6,13,29,21,25,14,11,34,27,55,78,56,46,51,55,39,42,73,32,34,54,45,73,925
experimental results,0,0,0,0,0,3,0,7,4,4,7,10,18,9,19,15,11,14,12,20,21,39,18,43,23,39,44,48,71,51,68,79,114,98,909
dynamical systems,0,0,0,0,0,0,0,4,4,0,7,7,0,7,17,17,20,11,16,33,31,42,29,35,36,41,59,50,62,50,53,68,66,110,875
large number,0,0,0,0,0,0,8,3,5,3,3,7,12,8,20,11,17,17,30,36,41,51,30,42,48,44,48,53,72,54,58,56,46,41,864
amino acids,0,0,0,0,0,6,9,5,23,16,22,19,39,32,19,19,23,33,28,21,27,38,33,47,29,28,45,39,34,22,43,50,68,46,863
data sets,0,0,0,0,0,0,0,0,0,0,0,0,5,11,6,16,16,18,28,36,35,57,37,50,69,61,47,65,71,59,55,60,41,18,861
functional connectivity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,7,25,16,35,39,72,49,49,59,71,75,72,82,103,81,852
steady state,0,0,0,0,0,0,0,4,3,7,7,13,13,11,13,19,18,26,41,59,38,59,59,46,39,39,63,48,35,34,43,24,55,28,844
brain networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,14,10,19,33,27,86,54,85,52,62,50,102,51,92,78,825
convolutional neural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,27,68,88,112,121,82,63,73,100,68,815
