,1994,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
learning,0,0,0,0,0,0,0,0,9,22,17,57,55,179,226,487,1336,1132,1378,1901,2890,5302,12269,18975,19688,7286,7301,7742,8232,8425,104909
models,0,0,0,0,0,0,0,0,78,185,228,433,582,600,834,1169,2048,2169,2345,3063,3775,5091,7696,11190,12716,7375,7541,8322,10269,10890,98599
methods,0,0,0,0,0,0,0,0,19,88,124,237,297,314,491,781,1294,1437,1749,2197,2819,3562,5938,8586,9192,5339,5301,5678,6971,7505,69919
distribution,0,0,0,0,0,14,18,16,77,155,209,317,513,478,578,711,1167,1324,1431,1702,1938,2331,3306,4130,4642,3598,3724,3846,4291,4446,44962
networks,0,0,0,0,0,0,0,0,0,14,13,54,72,87,184,201,504,556,572,719,1386,2749,5723,8204,7846,3219,2944,2974,3098,2832,43951
estimation,0,0,0,0,0,0,8,10,56,122,196,385,507,484,536,798,1195,1363,1549,1710,2040,2346,2824,3370,4023,3532,3579,3833,4364,4834,43664
neural,0,0,0,0,0,0,0,0,0,0,8,16,17,10,24,36,49,123,231,432,903,2184,5432,8405,8299,3077,2988,3180,3184,2856,41454
network,0,0,0,0,0,0,0,0,0,17,17,62,84,106,209,226,538,502,563,763,1283,2503,5224,7550,7018,2631,2481,2504,2552,2444,39277
framework,0,0,0,0,0,0,0,0,15,21,51,83,131,133,225,268,548,635,795,958,1326,1647,3097,4385,4941,2656,2811,3200,4156,6647,38729
regression,0,0,0,0,0,0,0,0,55,124,142,290,393,351,421,640,814,1087,1116,1421,1615,1979,2511,3279,3871,2990,3009,3070,3587,3731,36496
function,0,0,0,0,0,0,13,0,57,103,196,299,295,291,384,619,923,925,1055,1294,1536,1931,3014,4075,4335,2835,2732,2921,3078,2971,35882
bayesian,0,0,0,0,0,0,0,0,22,49,64,149,261,227,374,541,1034,1072,1275,1560,1647,1942,2487,3142,3491,3024,2944,2975,3361,3981,35622
inference,0,0,0,0,0,0,0,0,24,36,75,115,140,171,275,377,759,797,1052,1330,1512,1866,2688,3251,3670,2902,3003,3261,3668,4455,35427
algorithms,0,0,0,0,0,0,7,0,13,16,27,81,113,155,246,398,815,835,963,1194,1477,1961,3428,4866,5124,2770,2539,2706,2777,2412,34923
number,0,0,0,0,0,0,0,0,39,58,122,206,276,274,421,566,874,975,1158,1309,1553,2056,2793,3840,4189,2635,2444,2301,2492,2201,32782
training,0,0,0,0,0,0,0,0,0,0,0,25,12,23,39,79,162,230,304,428,659,1495,4004,6409,6714,2289,2042,2162,2698,2596,32370
information,0,0,0,0,0,17,0,0,48,52,62,186,207,162,319,470,671,717,849,1017,1276,1831,3045,4487,4559,2368,2384,2404,2585,2625,32341
deep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,43,121,165,423,723,2011,5049,7078,6370,2005,1674,1796,1740,1572,30800
linear,0,0,0,0,0,0,0,0,37,67,117,198,226,267,364,498,687,844,1008,1172,1338,1715,2133,2864,3523,2405,2527,2727,3006,2882,30605
random,0,0,0,0,0,0,0,36,57,117,189,238,373,371,446,666,860,893,1166,1420,1447,1736,2270,2923,2975,2326,2242,2325,2451,2825,30352
statistical,0,0,0,0,0,0,0,13,28,76,110,236,316,244,385,500,673,777,968,1181,1216,1651,1902,2357,2802,2465,2467,2657,2990,3449,29463
use,0,0,0,0,0,0,0,8,16,36,69,141,187,205,246,333,594,677,823,971,1244,1657,2807,3958,4130,2263,2320,2228,2282,2148,29343
demonstrate,0,0,0,0,0,0,0,0,8,15,17,60,78,88,133,214,438,478,552,692,903,1369,2377,3721,4071,2104,2069,2496,3121,3824,28828
work,0,0,0,0,0,0,0,0,10,29,27,71,108,99,173,218,367,440,508,682,870,1319,2563,3877,4311,2257,2366,2533,2799,3038,28665
process,0,0,0,0,0,0,0,0,27,89,133,199,268,289,393,511,829,798,919,1060,1263,1513,2306,3153,3388,2173,2121,2180,2548,2457,28617
provide,0,0,0,0,0,0,0,0,12,45,49,76,132,173,210,283,541,578,698,872,1042,1374,2228,3141,3680,2307,2243,2454,2649,2813,27600
