,1994,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
deep neural networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,57,124,320,864,1165,1020,313,262,292,239,210,4900
markov chain monte,0,0,0,0,0,0,0,0,0,3,10,30,32,35,56,67,106,143,132,173,172,205,175,254,281,244,219,209,300,266,3112
chain monte carlo,0,0,0,0,0,0,0,0,0,3,10,30,32,35,56,66,105,143,133,173,170,204,174,253,280,244,221,207,298,266,3103
machine learning models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,8,34,62,228,387,457,214,217,207,307,307,2441
stochastic gradient descent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,30,60,76,150,272,303,345,171,164,171,173,169,2105
convolutional neural networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,36,79,168,419,465,336,85,87,66,58,48,1864
principal component analysis,0,0,0,0,0,0,0,0,0,0,10,6,14,14,15,30,38,38,78,80,84,119,118,194,181,151,128,164,186,192,1840
deep neural network,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,23,40,131,299,422,370,95,86,94,79,67,1717
maximum likelihood estimation,0,0,0,0,0,0,0,0,3,4,6,20,13,26,23,22,50,42,69,65,81,72,113,113,139,129,145,123,154,168,1580
graph neural networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,55,262,414,116,123,140,155,102,1376
time series data,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,8,15,8,23,30,59,66,111,150,203,123,121,147,179,119,1374
generative adversarial networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,145,297,324,244,98,57,58,33,36,1322
machine learning algorithms,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,14,16,20,14,33,82,154,281,240,103,100,93,94,68,1320
deep reinforcement learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,64,289,436,283,64,28,30,37,31,1290
deep learning models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,8,60,127,307,277,76,63,87,110,101,1226
maximum likelihood estimator,0,0,0,0,0,0,0,0,4,5,18,20,18,27,20,29,36,38,67,62,76,76,72,61,81,74,72,83,95,117,1151
monte carlo mcmc,0,0,0,0,0,0,0,0,0,0,0,8,15,7,10,16,28,46,40,63,58,70,53,106,124,91,85,86,114,110,1130
convolutional neural network,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,31,117,233,320,216,44,33,34,27,23,1101
