,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
neural networks,0,0,0,0,4,0,0,6,10,0,0,3,7,19,35,50,31,56,35,31,97,64,97,227,418,1089,2270,4136,6639,9049,11273,11742,11706,12702,13472,12095,97363
machine learning,0,0,0,0,7,11,20,11,12,4,12,11,17,7,15,9,16,18,26,59,101,167,283,369,543,813,1466,2325,4367,6654,9378,10343,11221,12320,14011,13295,87911
language models,0,0,0,0,12,7,17,20,0,0,8,4,0,0,0,0,0,0,5,0,6,0,11,11,35,63,105,153,210,560,1177,2183,3729,13404,28596,37105,87421
deep learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,78,139,442,992,2511,4843,6606,9199,9191,9210,10029,11014,10609,74873
large language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,26,117,715,9880,25327,35065,71146
neural network,0,0,0,0,0,0,0,0,18,0,7,8,20,22,45,20,9,48,41,61,114,80,157,193,306,810,1666,3282,5543,7352,8871,8865,8503,8558,8738,7746,71083
reinforcement learning,0,0,0,0,0,0,0,0,0,9,0,5,9,8,4,0,7,5,20,25,44,78,114,111,118,207,561,1301,2422,3973,5321,5815,6390,7390,8764,13691,56392
results show,0,0,0,0,7,6,3,3,8,4,12,9,10,9,18,30,35,81,109,138,317,344,537,686,811,1032,1465,2017,2945,3845,5119,5841,6051,6476,7033,9376,54377
experimental results,0,0,0,0,4,11,8,5,7,4,11,0,14,16,23,32,27,69,69,105,190,244,387,443,535,728,1094,1661,2527,3521,4440,5054,5570,6959,9175,10678,53611
paper propose,0,0,0,0,3,3,3,0,0,3,12,5,8,10,17,34,38,69,81,149,253,299,475,564,703,976,1353,2029,3121,4338,5270,5665,5809,6460,6400,5666,49816
extensive experiments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,24,31,55,44,107,166,284,537,911,1603,2428,3529,4582,6378,9419,13143,43249
proposed method,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,21,29,46,57,151,145,284,370,511,611,1083,1518,2405,3603,4558,5054,5336,6008,5865,5308,42980
propose novel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11,12,14,42,68,102,168,211,314,436,792,1261,2027,2932,3978,4598,4989,6341,7411,7157,42875
models llms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,162,4133,12175,18248,34722
natural language,0,0,0,0,49,63,45,57,21,16,44,17,19,26,18,8,17,22,21,40,34,75,92,149,227,272,566,808,1261,1855,2634,3165,3565,5294,6517,6635,33632
training data,0,0,0,0,8,8,4,0,0,6,5,8,0,0,0,0,0,0,5,16,28,45,59,78,155,259,477,871,1501,2194,3011,3273,3497,4603,5448,5881,31440
results demonstrate,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,5,19,23,27,81,79,134,158,235,290,445,623,897,1273,1818,2029,2211,4044,6631,9839,30871
deep neural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,80,356,744,1531,2748,3595,4319,4194,3732,3736,3164,2458,30709
existing methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,11,46,41,81,111,142,176,277,509,752,1143,1690,2013,2554,3859,6035,8899,28353
convolutional neural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,32,187,595,1215,2196,3254,3402,3612,3364,2748,2367,2540,2183,27700
paper presents,0,0,0,0,27,22,21,15,28,20,17,24,33,36,41,41,72,119,141,169,289,301,435,506,561,621,773,1014,1225,1656,2026,2180,2236,3214,4173,5595,27631
learning models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,11,22,34,64,167,367,830,1466,2334,2801,3198,4075,4813,4650,24839
paper present,0,0,0,0,9,15,8,6,13,10,24,14,18,27,52,40,53,81,113,177,261,289,423,509,538,649,852,1118,1582,1971,2403,2412,2356,2598,2629,2550,23800
time series,0,0,0,0,0,0,0,0,3,0,0,7,17,9,7,12,18,63,34,38,74,55,94,186,172,276,385,508,836,1344,1798,2072,2290,3161,4558,5214,23231
artificial intelligence,0,0,0,0,0,3,0,0,0,0,5,0,0,9,6,3,7,13,17,24,34,61,86,136,103,101,184,341,618,913,1472,1916,2118,3369,4847,5265,21651
object detection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,17,15,57,111,201,315,509,908,1487,2065,2543,3055,3397,3617,3143,21459
experiments show,0,0,0,0,0,3,3,4,0,6,6,3,3,4,5,9,4,15,19,29,43,77,117,119,153,237,386,646,1008,1467,1811,2150,2591,2680,2966,4096,20660
code available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,7,11,11,16,38,97,229,595,1050,1651,2454,3555,5200,5721,20647
publicly available,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,3,11,16,27,28,84,99,165,276,471,687,1101,1564,2003,2321,3085,3921,4689,20559
language model,0,0,0,0,8,5,9,9,6,0,14,6,0,0,4,0,0,0,0,9,0,5,10,14,26,93,118,154,233,515,727,976,1396,3167,5741,7135,20380
proposed approach,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9,7,10,30,25,56,97,78,175,271,283,371,548,842,1138,1710,2269,2256,2164,2639,2620,2551,20155
