,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
learning,0,0,0,0,42,101,104,53,80,34,92,75,134,85,108,114,146,188,329,501,921,1355,2538,2888,3686,5707,9476,16434,27446,40586,56758,63780,70664,80277,91119,96944,572765
models,0,0,0,0,66,35,92,73,62,32,115,104,112,121,151,215,252,375,463,575,1126,1538,2688,2902,3539,4504,6656,9650,15063,22962,33878,41386,49906,81871,127631,158367,566510
methods,0,0,0,0,26,26,55,27,53,75,69,89,98,112,118,181,173,321,400,557,1000,1540,2249,3025,3456,4423,6195,9030,13882,20942,28814,33282,37650,47399,62980,70751,348998
network,0,0,0,0,9,13,16,10,115,49,35,100,128,164,261,336,434,842,1208,1656,3364,3699,5016,5949,6190,7354,10467,15602,22429,28383,33729,33931,31955,32240,33232,31131,310047
framework,0,0,0,0,25,33,35,28,21,35,82,86,114,167,143,170,247,304,398,642,970,1308,1775,2349,2788,3477,4821,6631,9961,13314,18274,21315,23549,30736,44610,78758,267166
information,0,0,0,0,86,69,98,89,69,93,187,256,194,316,335,486,569,892,1122,1577,2579,3204,4192,4869,5212,6131,7678,9435,13565,17107,22314,24538,26831,32445,40304,39613,266455
networks,0,0,0,0,15,0,0,19,80,23,22,77,93,108,220,316,428,768,1009,1339,2773,3233,4469,5944,5679,7208,9483,13266,18189,22372,26466,26447,25596,26820,29514,28122,260098
systems,0,0,0,0,54,54,41,50,68,130,182,191,188,289,409,392,500,687,959,1514,2207,2822,3693,4637,5165,5849,7036,9092,12119,15903,20993,23376,24268,28723,36893,50383,258867
training,0,0,0,0,31,21,20,30,25,18,27,27,18,12,20,34,18,79,75,159,211,296,402,658,1014,1804,3131,5890,10669,15849,21967,25646,28857,35625,44993,52339,249965
neural,0,0,0,0,6,0,0,10,28,0,9,12,32,67,89,81,51,116,105,142,268,184,320,523,948,2356,5011,9195,15230,20830,25980,27351,27977,30798,32141,30919,230779
work,0,0,0,0,35,29,42,22,27,31,75,76,90,106,105,155,237,337,492,673,1208,1450,2011,2580,2940,3478,4824,6765,9803,13733,18815,21375,24190,27660,32506,40074,215944
language,0,0,0,0,146,172,158,153,91,96,171,156,115,184,161,102,187,201,281,429,618,855,958,1210,1632,1730,2616,3393,4832,7119,10295,12589,15647,31371,53558,64339,215565
tasks,0,0,0,0,8,15,19,8,21,10,20,27,28,23,45,37,22,77,113,149,244,328,633,681,950,1553,2591,4002,6510,10342,14200,17580,21232,30930,42843,50038,205279
large,0,0,0,0,21,20,23,21,43,38,64,60,86,135,109,215,233,320,496,627,999,1307,1854,2301,2760,3294,4235,5534,7385,9780,12262,12840,13980,25252,42932,53556,202782
image,0,0,0,0,0,0,0,0,0,10,25,6,10,25,73,82,101,118,144,310,789,696,1335,1682,2333,3312,4953,7417,11189,14755,17661,19972,22248,27937,33178,32301,202662
novel,0,0,0,0,6,10,10,5,9,19,20,32,36,59,46,61,105,150,230,349,578,846,1243,1484,1874,2493,3771,5363,8134,11116,15587,17928,19723,27114,38340,42644,199385
existing,0,0,0,0,13,13,13,14,11,22,39,53,49,59,48,98,91,173,205,351,640,763,1198,1519,1790,2225,3145,4582,6792,9494,13592,15999,18889,25308,34688,47444,189320
demonstrate,0,0,0,0,11,11,9,7,12,18,29,28,24,43,39,43,77,164,181,269,476,663,1066,1196,1596,2165,3250,4849,7152,10264,13786,15484,17115,24491,35188,48240,187946
deep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,22,44,59,141,368,669,2060,4083,8419,13995,18573,23718,23494,22326,22932,23498,22991,187437
algorithms,0,0,0,0,55,37,43,29,78,95,146,138,192,197,234,313,446,605,853,1277,2099,2651,3600,4487,4696,5459,6450,7933,10718,13416,17073,17438,17571,19514,21137,18601,177581
datasets,0,0,0,0,0,0,0,0,0,0,0,0,17,12,7,30,8,17,60,90,97,186,498,546,871,1523,2481,3927,6548,10001,13818,16707,19858,26135,35384,38054,176875
detection,0,0,0,0,0,0,0,0,7,0,24,7,9,15,44,107,71,168,234,443,692,717,965,1404,1795,2444,3658,5221,7840,10987,14668,17641,19586,23078,28401,33924,174150
use,0,0,0,0,54,48,69,55,90,64,121,151,136,220,197,245,326,528,633,875,1383,1757,2541,3057,3285,4007,5259,6942,9778,13044,16490,17961,18527,20758,23155,21675,173431
first,0,0,0,6,38,29,22,29,44,50,95,113,108,156,153,217,330,511,630,845,1332,1626,2110,2623,3086,3564,4622,6178,8448,11114,14740,16206,18053,20880,24289,30498,172745
dataset,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,11,24,28,67,87,134,277,423,667,1376,2337,3926,6950,10365,14089,16172,18414,24534,32946,36857,169707
experiments,0,0,0,0,23,15,23,24,18,27,47,33,43,58,33,48,67,101,152,199,379,548,863,1061,1378,1873,2789,4297,6648,9880,13466,15837,18114,22816,30090,38637,169587
graph,0,0,0,0,0,13,0,0,26,23,36,62,103,99,138,174,279,437,695,890,1488,2013,2659,2977,3247,3967,4474,5437,7453,10951,14478,16268,17623,20628,23993,23614,164245
present,0,0,0,0,56,66,49,44,88,88,134,120,170,188,248,297,367,466,713,1013,1585,1929,2577,3219,3349,3955,5262,6651,9160,11604,14836,15518,15750,18593,20622,24871,163588
