,2003,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
machine learning,0,0,0,0,0,0,0,0,0,0,0,5,20,50,77,143,210,180,167,241,273,1366
time series,0,0,0,0,0,0,0,0,0,0,0,4,24,44,86,121,115,105,140,144,164,947
treatment effects,0,0,0,0,0,0,0,0,10,0,0,15,15,62,49,75,99,110,104,157,190,886
treatment effect,0,0,0,0,0,0,0,0,0,0,0,19,8,36,28,67,76,81,96,121,148,680
panel data,0,0,0,0,0,0,0,0,0,0,0,4,13,39,58,63,79,67,121,76,149,669
monte carlo,0,0,0,0,0,0,0,0,0,0,0,12,10,45,59,73,62,64,80,103,114,622
results show,0,0,0,0,0,0,0,0,0,0,0,0,0,21,25,65,82,69,64,83,126,535
average treatment,0,0,0,0,0,0,0,0,0,0,0,15,8,31,26,34,42,68,61,88,104,477
economic growth,0,0,0,0,0,0,0,0,0,0,0,0,4,28,30,26,65,44,64,64,115,440
causal inference,0,0,0,0,0,0,0,0,0,0,0,0,3,10,21,31,47,58,47,63,136,416
artificial intelligence,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,12,21,37,63,97,150,395
covid pandemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,102,67,46,28,46,393
nash equilibrium,0,0,0,0,0,0,0,0,0,0,0,0,0,28,25,47,44,63,49,51,72,379
fixed effects,0,0,0,0,0,0,0,0,0,0,0,0,3,24,28,43,39,50,61,39,83,370
paper proposes,0,0,0,0,0,0,0,0,0,0,0,0,3,17,26,37,54,46,49,57,70,359
paper studies,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,29,49,51,48,54,78,347
united states,0,0,0,0,0,0,0,0,0,0,0,0,3,10,20,50,53,39,40,38,70,323
monetary policy,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,25,41,27,61,51,74,318
results suggest,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,49,42,34,36,47,69,310
empirical application,0,0,0,0,0,0,0,0,0,0,0,6,8,19,23,31,40,31,43,44,64,309
finite sample,0,0,0,0,0,0,0,0,0,0,0,3,5,25,35,40,44,40,37,46,29,304
climate change,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,43,51,31,40,61,63,304
labor market,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,14,31,42,48,62,88,298
causal effects,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,29,33,39,38,51,73,296
confidence intervals,0,0,0,0,0,0,0,0,0,0,0,14,9,22,20,17,30,33,38,41,65,289
large language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,86,156,288
using data,0,0,0,0,0,0,0,0,0,0,0,0,4,6,19,29,39,31,24,58,64,274
instrumental variables,0,0,0,0,0,0,0,0,0,0,0,4,6,17,13,26,31,44,39,38,53,271
social welfare,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,38,33,42,39,40,43,271
discrete choice,0,0,0,0,0,0,0,0,0,0,0,0,0,21,35,33,35,22,35,37,51,269
instrumental variable,0,0,0,0,0,0,0,0,0,0,0,0,10,15,18,31,36,28,37,43,45,263
language models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,80,140,261
results indicate,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,18,43,28,37,46,65,254
quantile regression,0,0,0,0,8,0,0,0,0,0,0,13,0,17,44,40,40,18,26,16,31,253
estimation inference,0,0,0,0,0,0,0,0,0,0,0,4,9,19,32,17,27,25,31,42,46,252
carlo simulations,0,0,0,0,0,0,0,0,0,0,0,4,0,13,19,23,26,21,36,45,62,249
sample size,0,0,0,0,0,0,0,0,4,0,3,10,3,18,19,21,24,23,38,34,49,246
synthetic control,0,0,0,0,0,0,0,0,0,0,0,0,8,7,24,10,31,39,47,34,46,246
least squares,0,0,0,0,0,0,0,0,0,0,0,0,4,13,27,27,19,22,39,49,45,245
decision making,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,30,36,24,31,54,36,243
propose new,0,0,0,0,0,0,0,0,0,0,3,0,7,15,24,32,31,27,27,29,47,242
paper introduces,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,18,18,19,23,51,94,241
neural networks,0,0,0,0,0,0,0,0,0,0,0,0,5,12,14,38,29,20,31,42,47,238
renewable energy,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,20,26,27,33,45,70,233
case study,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,29,28,20,35,43,50,232
supply chain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,24,27,21,39,83,232
linear regression,0,0,0,0,0,0,0,0,0,0,0,0,5,21,12,15,31,22,39,43,43,231
choice models,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,27,34,26,43,23,40,228
paper develops,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,17,20,15,28,20,93,225
paper examines,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,14,19,22,30,49,74,224
widely used,0,0,0,0,0,0,0,0,0,0,0,0,3,13,17,20,28,23,36,29,53,222
propose novel,0,0,0,0,0,0,0,0,0,0,0,0,3,5,12,22,25,24,32,38,60,221
proposed method,0,0,0,0,0,0,0,0,0,0,0,0,0,10,26,32,33,24,29,31,34,219
mechanism design,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,10,49,31,23,41,42,218
paper presents,0,0,0,0,0,0,0,0,0,0,0,0,5,15,10,21,16,18,28,49,56,218
expected utility,0,0,0,0,0,0,0,0,0,0,0,0,0,6,32,19,25,9,43,37,45,216
reinforcement learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,17,29,23,49,73,216
regression models,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,17,26,30,47,27,44,215
findings suggest,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,16,19,20,24,32,94,213
sufficient conditions,0,0,0,0,0,0,0,0,0,0,0,0,3,10,12,24,29,39,25,25,46,213
simulation study,0,0,0,0,0,0,0,0,0,0,0,0,3,17,20,24,29,25,28,35,29,210
social media,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,38,30,35,31,53,209
stock market,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,46,44,15,30,24,23,208
game theory,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,26,21,21,30,25,56,207
regression discontinuity,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,19,31,17,29,26,51,206
also show,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,27,35,36,21,28,30,203
deep learning,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,22,20,29,28,50,37,199
necessary sufficient,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,23,29,36,21,26,40,196
empirical evidence,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,12,29,18,39,22,60,194
paper investigates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,22,18,32,38,54,194
neural network,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,27,24,21,33,35,41,194
regression model,0,0,0,0,0,0,0,0,0,0,0,5,4,9,24,12,32,19,34,24,29,192
maximum likelihood,0,0,0,0,0,0,0,0,0,0,0,0,4,6,29,35,15,20,28,21,32,190
paper propose,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,27,24,30,20,32,32,189
asymptotic normality,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,19,25,26,19,38,35,188
causal effect,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,21,25,32,17,31,35,187
factor models,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,18,22,25,37,23,31,187
factor model,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,25,20,30,22,39,30,184
potential outcomes,0,0,0,0,0,0,0,0,0,0,0,0,6,8,6,13,19,27,24,27,50,180
unobserved heterogeneity,0,0,0,0,0,0,0,0,0,0,0,0,9,12,16,25,20,21,25,21,31,180
large number,0,0,0,0,0,0,0,0,0,0,0,5,4,15,24,24,25,21,21,22,19,180
paper provides,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,19,23,19,26,29,44,179
financial markets,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,24,16,13,33,37,32,177
nash equilibria,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,19,22,22,17,25,42,176
spillover effects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,22,12,24,41,38,174
income inequality,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,19,32,29,15,27,35,170
social choice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,20,45,12,24,36,169
risk aversion,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,17,21,32,25,23,36,169
models paper,0,0,0,0,0,0,0,0,0,0,0,3,6,14,14,16,15,22,26,18,33,167
