,2004,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
convolutional neural network,0,0,0,0,0,0,0,0,0,23,174,572,836,571,511,391,368,277,3723
convolutional neural networks,0,0,0,0,0,0,0,0,0,28,142,511,758,507,458,360,405,291,3460
results show proposed,0,0,0,0,0,0,0,0,0,22,115,291,494,452,482,458,361,347,3022
model predictive control,0,0,0,0,0,0,0,0,0,0,10,158,328,380,389,420,573,680,2938
automatic speech recognition,0,0,0,0,0,0,0,0,0,20,87,200,315,391,502,502,511,404,2932
deep neural networks,0,0,0,0,0,0,0,0,0,28,106,360,538,434,395,339,285,211,2696
experimental results show,0,0,0,0,0,0,0,0,0,10,73,231,394,344,432,405,333,346,2568
deep neural network,0,0,0,0,0,0,0,0,0,27,141,334,469,359,332,271,183,166,2282
deep learning models,0,0,0,0,0,0,0,0,0,0,16,145,254,252,314,360,422,398,2161
experimental results demonstrate,0,0,0,0,0,0,0,0,0,4,26,95,163,167,184,325,514,637,2115
simulation results show,0,0,0,0,0,0,0,0,0,12,99,177,296,274,319,298,293,282,2050
speech recognition asr,0,0,0,0,0,0,0,0,0,13,55,124,202,272,333,343,361,285,1988
channel state information,0,0,0,0,0,0,0,0,0,12,70,134,237,215,304,272,325,408,1977
deep reinforcement learning,0,0,0,0,0,0,0,0,0,0,16,142,340,240,277,307,335,298,1955
medical image segmentation,0,0,0,0,0,0,0,0,0,0,0,104,148,174,287,396,366,288,1763
results demonstrate proposed,0,0,0,0,0,0,0,0,0,3,28,88,162,137,196,222,365,530,1731
simulation results demonstrate,0,0,0,0,0,0,0,0,0,8,24,68,146,146,173,221,333,582,1701
magnetic resonance imaging,0,0,0,0,0,0,0,0,0,3,20,164,192,195,241,280,288,239,1622
neural network cnn,0,0,0,0,0,0,0,0,0,6,54,250,332,221,210,170,165,118,1526
paper propose novel,0,0,0,0,0,0,0,0,0,11,49,152,257,197,215,240,188,181,1490
generative adversarial networks,0,0,0,0,0,0,0,0,0,13,46,230,320,235,206,162,159,91,1462
reconfigurable intelligent surface,0,0,0,0,0,0,0,0,0,0,0,32,132,178,264,309,299,237,1451
multipleinput multipleoutput mimo,0,0,0,0,0,0,0,0,3,13,63,110,173,182,198,201,263,242,1448
large language models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,532,674,1387
state information csi,0,0,0,0,0,0,0,0,0,4,45,77,154,149,203,185,234,294,1345
generative adversarial network,0,0,0,0,0,0,0,0,0,5,40,191,255,222,213,144,130,91,1291
integrated sensing communication,0,0,0,0,0,0,0,0,0,0,0,0,0,32,123,218,389,525,1287
show proposed method,0,0,0,0,0,0,0,0,0,7,43,135,195,198,231,185,138,111,1243
neural networks cnns,0,0,0,0,0,0,0,0,0,7,27,148,238,172,145,144,183,140,1204
deep learning methods,0,0,0,0,0,0,0,0,0,3,18,109,206,181,164,199,179,141,1200
deep learning based,0,0,0,0,0,0,0,0,0,5,28,168,259,218,182,131,113,62,1166
demonstrate effectiveness proposed,0,0,0,0,0,0,0,0,0,0,28,61,134,131,124,215,211,241,1145
reconfigurable intelligent surfaces,0,0,0,0,0,0,0,0,0,0,0,34,103,117,175,208,223,256,1116
mean square error,0,0,0,0,0,0,0,0,0,7,63,97,135,91,99,167,197,227,1083
unmanned aerial vehicles,0,0,0,0,0,0,0,0,0,3,30,90,175,114,111,153,185,197,1058
machine learning models,0,0,0,0,0,0,0,0,0,0,8,69,108,111,157,174,220,186,1033
numerical results show,0,0,0,0,0,0,0,0,0,10,25,94,157,137,148,157,158,133,1019
predictive control mpc,0,0,0,0,0,0,0,0,0,0,0,44,104,131,125,149,202,254,1009
signaltonoise ratio snr,0,0,0,0,0,0,0,0,0,8,35,64,129,108,95,144,181,234,998
using deep learning,0,0,0,0,0,0,0,0,0,4,37,114,206,136,154,150,122,71,994
effectiveness proposed method,0,0,0,0,0,0,0,0,0,0,29,67,106,120,137,175,183,176,993
paper proposes novel,0,0,0,0,0,0,0,0,0,0,27,69,108,111,130,137,180,230,992
deep learning model,0,0,0,0,0,0,0,0,0,0,14,81,158,131,160,135,181,129,989
word error rate,0,0,0,0,0,0,0,0,0,10,37,73,118,146,151,144,141,131,951
internet things iot,0,0,0,0,0,0,0,0,0,7,42,93,154,131,110,132,152,124,945
resonance imaging mri,0,0,0,0,0,0,0,0,0,0,8,78,102,114,130,163,165,160,920
control barrier functions,0,0,0,0,0,0,0,0,0,0,0,11,82,98,142,145,175,255,908
