,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
financial time series,0,0,0,3,8,7,5,13,16,13,14,13,10,13,21,15,19,24,13,16,24,26,39,35,36,42,38,60,59,582
large language models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,160,213,451
limit order book,0,0,0,0,0,0,0,0,0,0,5,4,0,0,10,13,7,11,25,25,27,27,31,29,33,23,41,41,58,410
stochastic volatility models,0,0,0,0,0,0,4,0,0,9,11,6,20,23,9,17,12,18,21,15,21,29,40,30,17,25,22,14,27,390
stochastic differential equations,0,0,0,0,0,0,0,0,3,4,5,7,6,10,11,16,12,15,23,19,18,19,23,27,18,24,17,27,31,335
stochastic volatility model,0,0,0,0,0,0,0,0,0,6,0,13,8,17,4,14,17,13,27,22,16,23,29,18,18,26,19,23,19,332
deep reinforcement learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,32,52,36,30,45,44,268
language models llms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,89,133,253
backward stochastic differential,0,0,0,0,0,0,0,0,0,3,0,6,3,7,5,6,9,7,15,14,10,14,17,19,14,12,14,26,12,213
geometric brownian motion,0,0,0,0,0,0,0,0,0,6,4,5,4,7,3,8,5,12,13,14,14,15,7,16,9,11,19,22,14,208
machine learning models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,23,19,35,32,42,40,205
monte carlo simulations,0,0,0,3,0,0,0,0,0,0,4,6,0,9,12,7,7,5,3,9,7,3,11,19,10,9,21,22,22,189
time series data,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,5,15,14,11,10,9,10,15,26,38,19,179
stochastic differential equation,0,0,0,0,0,0,0,0,0,6,3,6,5,6,8,5,8,7,9,0,8,10,10,19,12,10,11,14,22,179
monte carlo simulation,0,0,0,0,0,0,0,0,0,0,0,5,7,7,6,8,9,5,6,9,7,8,10,13,10,17,13,20,11,171
partial differential equation,0,0,0,0,0,3,0,0,0,0,0,0,0,6,9,8,9,13,13,11,6,7,18,9,12,6,8,14,15,167
stochastic control problem,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,4,5,10,9,13,6,8,14,14,12,11,12,16,11,163
deep learning models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,20,15,22,44,35,162
proportional transaction costs,0,0,0,0,0,0,0,0,0,4,0,4,0,8,11,14,14,13,10,19,8,9,18,3,4,5,4,5,7,160
partial differential equations,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,8,5,6,5,11,3,13,9,17,19,14,14,14,12,157
natural language processing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,8,15,17,34,42,33,156
long shortterm memory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,16,17,20,15,35,32,150
machine learning methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,13,18,16,24,16,23,23,144
machine learning techniques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,9,23,16,12,12,38,16,137
stock price prediction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,18,17,22,21,25,19,136
fractional brownian motion,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,8,16,25,0,5,15,13,13,13,7,12,135
machine learning algorithms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,23,16,11,15,28,15,128
deep neural networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,15,19,13,7,9,19,117
limit order books,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,7,12,12,5,9,7,5,8,15,20,115
optimal stopping problem,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,0,8,8,6,5,13,0,8,0,13,20,8,5,5,114
principal component analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,5,0,0,4,11,13,15,12,9,14,16,112
random matrix theory,0,0,0,0,5,0,0,3,5,3,8,5,8,10,5,8,9,4,0,0,4,0,0,5,6,5,7,7,4,111
utility maximization problem,0,0,0,0,0,0,0,0,0,4,0,0,0,4,10,0,5,0,7,12,9,9,7,5,0,10,11,9,5,107
using machine learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,6,20,13,8,10,20,10,100
automated market makers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,20,17,20,24,99
gdp per capita,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,10,0,0,8,5,0,0,0,9,15,0,5,12,16,97
optimal control problem,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,6,4,0,5,4,9,8,12,5,9,7,8,12,97
time series forecasting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,6,4,21,21,26,95
asset pricing model,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,6,5,0,6,10,9,5,6,7,0,19,10,95
efficient market hypothesis,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,4,5,5,8,8,7,6,9,8,8,12,93
necessary sufficient conditions,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,4,3,3,5,7,3,8,3,8,10,7,3,6,10,91
chinese stock market,0,0,0,0,0,0,0,0,0,0,4,5,3,0,5,0,5,0,9,7,0,3,12,7,5,4,6,6,10,91
probability density function,0,0,0,0,7,0,0,0,6,5,3,6,7,10,3,3,3,3,0,0,0,4,8,7,3,4,0,5,0,87
portfolio optimization problem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,8,6,17,6,10,4,10,3,8,86
shortterm memory lstm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,13,10,5,21,23,86
large language model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,27,42,86
global financial crisis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,7,0,8,7,13,4,3,0,5,9,3,9,85
decentralized finance defi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,19,16,15,16,84
monte carlo method,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,5,0,6,5,9,7,4,0,6,6,8,12,6,84
stochastic optimal control,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,4,3,3,4,12,6,4,4,6,11,18,82
convex risk measures,0,0,0,0,0,0,0,0,0,0,0,7,4,4,6,3,3,5,4,3,4,4,0,4,9,6,4,12,0,82
deep neural network,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,12,18,8,14,10,8,81
rough volatility models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,11,7,9,18,6,10,0,75
theorem asset pricing,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,12,11,3,4,4,6,5,5,4,5,4,0,5,74
fundamental theorem asset,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,12,11,3,4,4,6,5,5,4,5,4,0,5,74
markov chain monte,0,0,0,0,0,0,0,0,0,0,3,0,9,8,6,0,3,3,0,0,5,6,8,5,0,3,3,10,0,72
chain monte carlo,0,0,0,0,0,0,0,0,0,0,3,0,9,8,6,0,3,3,0,0,5,6,8,5,0,3,3,10,0,72
stochastic control problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,4,4,4,5,9,10,8,12,9,72
detrended fluctuation analysis,0,0,0,0,3,0,0,3,0,6,0,7,7,4,5,8,6,5,8,0,4,0,0,0,0,0,0,0,5,71
portfolio selection problem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,4,0,6,7,3,4,12,7,7,9,71
optimal stopping problems,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,3,9,4,10,4,13,6,0,11,0,70
order book data,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,5,9,8,6,12,0,6,5,10,70
real market data,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,0,7,7,6,4,9,9,13,69
dow jones industrial,0,0,0,0,0,0,0,5,4,0,3,0,5,5,3,4,0,7,7,0,0,5,3,3,0,0,5,3,7,69
machine learning approach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,12,5,6,8,10,16,67
local volatility model,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,7,0,5,3,3,7,4,6,6,9,8,0,67
recurrent neural network,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,5,6,10,11,7,10,8,67
monte carlo methods,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,3,0,8,0,7,9,6,5,0,8,5,7,66
stock market data,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,4,3,3,6,8,8,9,10,7,66
recurrent neural networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,15,6,7,9,5,10,65
systemic risk measures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,8,7,10,9,3,17,0,65
implied volatility surface,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,5,0,8,6,0,3,6,13,9,65
order book lob,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,3,0,4,6,5,0,8,9,14,61
convolutional neural networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,9,4,6,3,15,7,59
optimal investment strategy,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,4,10,0,3,3,0,9,0,8,7,3,4,59
using deep learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,10,10,8,11,3,59
generative adversarial networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,12,3,11,8,6,59
jones industrial average,0,0,0,0,0,0,0,5,0,0,3,0,5,5,3,3,0,6,6,0,0,5,0,3,0,0,5,3,7,59
time series analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,4,0,10,5,3,6,7,6,6,58
reinforcement learning framework,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,8,14,21,57
mean squared error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,7,5,12,8,14,57
finite time horizon,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,3,0,6,0,5,7,6,4,0,6,6,3,56
portfolio optimization problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,8,6,7,5,3,7,5,4,55
stock market prediction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10,0,10,3,12,4,55
stock market indices,0,0,0,0,0,7,0,0,0,4,0,0,0,0,5,0,0,3,0,0,0,0,8,9,7,0,4,5,3,55
deep learning techniques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,9,9,9,12,55
heston stochastic volatility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,5,6,0,0,6,8,3,7,7,0,4,54
meanvariance portfolio selection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,5,0,11,0,12,11,54
mean field game,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,13,7,5,0,7,11,5,54
dynamic programming principle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,0,0,5,7,5,7,3,9,4,53
value function optimal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,0,11,0,6,6,0,4,0,0,4,8,53
gross domestic product,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,3,5,8,6,6,7,0,7,53
option pricing model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,3,0,4,7,8,3,3,10,3,52
multilevel monte carlo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,9,0,0,6,0,6,5,4,0,5,0,51
coherent risk measures,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,3,3,6,0,0,4,0,6,7,0,0,6,6,0,51
relative risk aversion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,4,0,0,4,4,4,0,6,8,3,0,8,51
new york stock,0,0,4,0,0,0,0,3,4,9,0,3,0,3,0,0,0,5,5,0,4,3,0,0,0,0,3,4,0,50
reinforcement learning drl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,3,3,13,13,50
prove existence uniqueness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,5,0,3,0,6,11,0,4,3,3,50
market price risk,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,3,0,7,7,0,0,6,5,6,49
graph neural networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,25,12,49
distortion risk measures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,3,21,13,49
deep learning model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,8,4,7,10,10,48
utility terminal wealth,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,3,5,0,0,3,4,3,4,6,4,0,7,0,48
empirical results show,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,0,4,9,16,48
value risk var,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,6,6,4,4,11,8,47
paper propose novel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,5,7,6,5,8,8,47
financial risk management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,3,0,0,3,0,0,19,13,47
