Kelime,2020,2021,2022,2023,2024,2025,Total
policy,29,38,24,22,25,44,182
treatment,40,37,35,14,13,43,182
effects,33,27,24,18,19,49,170
effect,35,38,13,25,23,31,165
time,40,23,40,13,21,20,157
market,18,34,23,31,30,19,155
framework,19,17,19,24,22,50,151
optimal,28,19,28,28,23,18,144
information,24,25,19,16,28,32,144
learning,25,24,20,15,11,46,141
impact,24,15,29,28,19,11,126
estimation,19,28,20,6,15,37,125
social,22,7,33,32,17,14,125
regression,25,25,14,11,17,32,124
empirical,21,21,18,20,16,21,117
performance,11,14,29,24,24,14,116
problem,26,18,9,25,13,24,115
choice,18,23,23,18,24,5,111
distribution,22,18,16,15,20,19,110
agents,11,14,17,14,38,14,108
value,16,6,17,14,21,33,107
set,20,12,26,14,17,14,103
design,5,17,13,24,13,31,103
variables,21,17,12,17,18,18,103
system,15,24,11,18,17,15,100
risk,8,24,8,28,8,23,99
inference,17,15,19,5,14,29,99
average,10,18,19,6,19,21,93
innovation,7,12,31,11,16,15,92
energy,12,9,30,12,20,8,91
causal,14,25,8,6,12,25,90
rate,25,14,16,15,8,12,90
test,25,13,10,17,10,14,89
income,2,26,22,16,8,15,89
network,14,13,9,16,16,18,86
function,12,19,11,3,20,19,84
estimator,14,15,19,7,15,13,83
estimate,9,24,10,9,14,16,82
theory,14,7,11,20,13,16,81
systems,8,13,8,12,16,23,80
countries,10,14,22,14,15,4,79
estimators,13,13,20,7,11,12,76
control,18,13,5,18,5,17,76
variable,10,14,21,11,13,6,75
conditions,16,9,16,5,8,20,74
price,12,15,10,18,7,12,74
power,15,17,13,9,10,9,73
equilibrium,12,15,10,11,5,20,73
dynamics,9,16,12,11,13,12,73
functions,11,10,11,8,14,18,72
growth,12,13,6,17,15,8,71
decision,19,12,10,16,7,7,71
cost,14,9,16,12,11,8,70
machine,12,15,10,5,10,17,69
development,8,6,18,15,15,7,69
outcomes,15,17,9,8,12,8,69
human,12,18,4,17,12,5,68
linear,11,10,20,16,10,1,68
parameters,16,14,10,4,9,14,67
behavior,7,9,6,17,12,16,67
simple,13,16,11,10,11,5,66
utility,5,10,14,10,19,8,66
factors,7,9,16,15,7,12,66
prices,11,11,11,11,14,7,65
policies,10,23,10,9,4,9,65
sample,13,11,13,8,9,10,64
literature,8,12,10,14,13,7,64
tests,13,7,11,10,3,19,63
welfare,14,4,3,5,11,26,63
applications,12,5,9,13,10,14,63
global,5,10,16,10,12,9,62
case,11,8,4,9,16,14,62
problems,6,10,7,10,13,16,62
matching,1,7,20,8,4,22,62
process,11,9,7,14,12,8,61
change,17,13,10,11,7,3,61
population,7,19,8,9,7,11,61
rules,11,0,12,20,15,3,61
dynamic,8,6,3,12,7,24,60
positive,11,2,12,19,8,8,60
increase,12,11,12,8,7,10,60
local,16,10,10,9,7,8,60
preferences,10,7,9,9,14,11,60
series,16,6,14,9,11,4,60
costs,9,15,24,3,4,5,60
estimated,10,14,9,8,10,8,59
strategy,8,7,5,26,9,4,59
expected,12,10,11,9,13,4,59
structural,11,6,9,5,8,20,59
often,11,4,7,11,14,12,59
robust,3,10,17,7,12,10,59
demand,8,13,3,12,15,7,58
industry,22,4,4,11,13,4,58
application,20,5,12,8,4,8,57
standard,6,11,5,18,10,7,57
spatial,0,9,7,5,10,26,57
digital,2,11,9,9,18,8,57
testing,8,6,5,4,19,14,56
public,14,9,2,11,7,13,56
statistical,4,8,6,7,11,20,56
mechanism,1,11,22,3,11,8,56
selection,9,17,7,10,7,6,56
period,17,12,10,6,8,2,55
firms,21,5,0,2,17,10,55
networks,7,7,2,11,17,11,55
stochastic,4,13,10,17,5,6,55
assumptions,6,12,10,10,6,10,54
nonparametric,5,8,15,6,11,9,54
markets,24,5,8,3,3,11,54
index,9,19,7,9,4,6,54
rates,9,6,8,9,11,11,54
supply,5,12,17,2,6,12,54
order,7,14,15,6,5,7,54
conditional,10,8,9,1,18,8,54
experiments,7,8,10,3,5,21,54
probability,7,8,9,13,13,4,54
economy,16,6,7,14,4,7,54
multiple,17,8,6,6,7,9,53
theoretical,7,6,8,12,11,9,53
inequality,4,21,5,0,6,16,52
algorithm,3,14,13,12,5,5,52
voting,5,0,7,22,14,4,52
mechanisms,6,6,13,2,16,9,52
identification,11,8,6,11,6,9,51
algorithms,4,7,12,15,6,7,51
individual,11,10,9,13,4,4,51
areas,10,7,7,12,10,4,50
platform,4,4,6,6,20,10,50
random,11,12,6,4,10,7,50
technology,2,12,9,3,14,9,49
error,14,5,8,6,3,13,49
bias,10,10,8,7,4,10,49
relationship,5,10,8,11,9,6,49
outcome,8,6,17,1,8,8,48
efficient,6,8,11,5,8,10,48
covid,10,10,12,4,6,6,48
panel,9,3,13,11,3,8,47
individuals,2,10,7,11,8,9,47
game,15,6,2,5,6,13,47
technologies,4,1,2,10,23,7,47
carbon,3,3,15,10,16,0,47
estimates,9,5,10,5,6,12,47
health,12,8,9,11,5,2,47
forecasting,5,5,2,14,14,6,46
derive,7,11,5,6,5,12,46
measures,8,14,9,9,4,2,46
future,12,8,7,9,9,1,46
returns,8,7,2,6,20,3,46
covariates,8,6,8,5,10,9,46
size,6,10,10,7,8,5,46
strategic,3,6,9,0,16,11,45
heterogeneous,9,17,3,1,5,10,45
pricing,2,5,10,13,2,13,45
factor,2,11,14,3,14,1,45
levels,8,6,12,1,10,8,45
efficiency,3,6,8,9,7,12,45
implications,2,10,10,10,9,3,44
types,2,2,4,8,5,23,44
heterogeneity,10,6,8,3,5,12,44
environmental,2,4,10,9,5,14,44
marginal,6,5,8,2,17,6,44
influence,3,6,7,9,12,7,44
drivers,8,17,5,2,4,7,43
identified,14,8,10,3,3,5,43
assumption,11,5,7,6,5,9,43
state,10,9,2,8,10,4,43
distributions,5,6,4,3,16,9,43
quality,1,10,4,22,4,2,43
tools,3,4,9,5,14,8,43
context,4,6,6,17,2,8,43
inflation,9,9,6,14,2,3,43
asymptotic,6,7,12,2,10,6,43
structure,7,4,12,6,8,5,42
bounds,11,8,4,2,11,6,42
experiment,5,8,4,3,9,13,42
real,11,1,12,9,3,6,42
exchange,2,4,17,4,5,10,42
online,3,11,8,13,6,1,42
strategies,4,7,11,9,8,3,42
uncertainty,5,4,9,8,7,9,42
existing,5,8,7,7,9,6,42
ratio,5,7,9,1,9,11,42
games,10,11,3,8,7,3,42
focus,6,3,5,9,12,6,41
available,7,9,5,7,5,8,41
estimating,11,10,5,1,4,10,41
consumption,2,7,8,5,10,9,41
interest,9,2,12,5,9,4,41
states,8,10,4,4,10,5,41
approaches,6,7,3,7,6,12,41
class,7,8,6,8,7,5,41
convergence,6,9,3,4,14,4,40
regional,8,10,2,9,2,9,40
existence,11,3,4,13,3,6,40
changes,12,4,6,12,3,3,40
management,7,6,12,4,7,4,40
negative,16,5,4,10,1,4,40
