N-Gram,2020,2021,2022,2023,2024,2025,Total
machine learning,12,14,7,5,9,16,63
time series,11,5,9,3,9,3,40
treatment effects,9,8,3,2,3,14,39
treatment effect,11,8,3,3,3,11,39
average treatment,2,8,4,2,4,11,31
artificial intelligence,3,0,8,3,9,3,26
causal inference,2,5,2,2,4,8,23
panel data,4,3,4,9,0,3,23
average treatment effect,2,5,3,0,3,7,20
monte carlo,0,2,3,5,5,5,20
digital transformation,0,7,6,0,7,0,20
results show,0,5,4,3,5,2,19
synthetic control,3,2,0,3,0,11,19
instrumental variable,3,5,3,3,0,3,17
instrumental variables,4,4,6,0,0,3,17
supply chain,0,0,8,0,4,5,17
economic growth,2,0,2,4,7,0,15
renewable energy,5,0,6,0,3,0,14
systemic risk,0,0,0,9,0,5,14
riesz regression,0,0,0,0,0,13,13
gini index,0,11,2,0,0,0,13
united states,4,0,0,0,9,0,13
estimation inference,3,0,4,0,0,6,13
covid pandemic,3,2,0,3,3,2,13
maximum likelihood,4,0,0,2,4,2,12
paper proposes,2,2,3,0,0,5,12
quantile regression,6,6,0,0,0,0,12
significant positive,0,0,3,9,0,0,12
social media,2,0,6,0,4,0,12
study investigates,0,0,3,3,4,2,12
positive effect,0,0,0,10,0,2,12
debiased machine,0,0,2,0,0,10,12
debiased machine learning,0,0,2,0,0,10,12
statistical inference,0,2,0,2,5,3,12
finite sample,2,2,4,0,0,3,11
neural networks,2,3,0,3,3,0,11
necessary sufficient,0,2,5,0,2,2,11
large language,0,0,0,2,7,2,11
sample size,2,2,3,0,0,4,11
random forest,5,2,2,0,2,0,11
causal effects,4,0,2,0,0,5,11
least squares,2,0,2,3,0,4,11
empirical application,5,0,0,2,0,4,11
treatment assignment,3,0,4,0,0,3,10
analysis reveals,0,0,0,2,4,4,10
decision making,5,0,3,0,0,2,10
regression models,3,5,0,0,2,0,10
mental distress,0,10,0,0,0,0,10
income distribution,0,5,0,0,0,5,10
human drivers,0,10,0,0,0,0,10
sufficient conditions,3,2,3,0,0,2,10
riesz representer,2,0,0,0,0,8,10
per capita,5,2,0,2,0,0,9
policy learning,0,0,0,0,0,9,9
marginal emission,0,0,0,0,9,0,9
causal effect,0,5,2,0,2,0,9
monetary policy,3,0,0,0,3,3,9
civilian casualties,0,9,0,0,0,0,9
principal component,0,0,5,4,0,0,9
results indicate,2,0,0,2,2,3,9
significant positive effect,0,0,0,9,0,0,9
case study,2,0,0,3,0,4,9
economic development,2,0,5,0,2,0,9
also show,3,2,2,0,2,0,9
large language models,0,0,0,2,5,2,9
nash equilibrium,0,0,3,4,0,2,9
language models,0,0,0,2,5,2,9
household registration,0,8,0,0,0,0,8
results suggest,4,2,0,2,0,0,8
income inequality,0,5,3,0,0,0,8
human capital,0,3,0,5,0,0,8
private information,0,3,0,0,2,3,8
structural equation,2,2,2,2,0,0,8
previous studies,0,0,0,3,0,5,8
paper investigates,0,2,2,2,2,0,8
stock market,0,3,0,2,3,0,8
reinforcement learning,0,0,2,0,0,6,8
natural capital,0,0,0,8,0,0,8
statistically significant,0,0,2,0,3,3,8
south korean,0,2,6,0,0,0,8
social recognition,8,0,0,0,0,0,8
convergence rate,0,3,2,3,0,0,8
paper studies,0,2,2,2,0,2,8
innovation performance,0,0,8,0,0,0,8
serious leisure,0,0,0,0,8,0,8
green marketing,0,0,0,8,0,0,8
paper introduces,0,3,2,0,3,0,8
lower bound,0,2,0,4,2,0,8
house price,0,6,0,2,0,0,8
conditional distribution,0,4,0,0,4,0,8
asymptotic normality,0,0,2,0,4,2,8
empirical evidence,0,3,3,2,0,0,8
choice problems,0,6,0,2,0,0,8
energy systems,0,0,5,0,3,0,8
factor models,0,5,3,0,0,0,8
family size,0,3,4,0,0,0,7
mobile population,0,7,0,0,0,0,7
nuisance parameters,0,3,2,0,0,2,7
average treatment effects,0,3,0,0,0,4,7
utility functions,2,0,2,0,3,0,7
electoral violence,0,7,0,0,0,0,7
using data,0,2,0,0,0,5,7
mental health,0,0,7,0,0,0,7
labor supply,0,3,0,0,0,4,7
data models,0,0,2,3,0,2,7
learning algorithms,0,3,0,2,0,2,7
sufficient condition,3,0,2,0,2,0,7
social welfare,2,0,0,3,0,2,7
social innovation,0,0,7,0,0,0,7
test statistics,0,0,0,0,2,5,7
paper examines,0,2,2,0,3,0,7
conditional moment,4,0,3,0,0,0,7
panel data models,0,0,2,3,0,2,7
computationally efficient,0,2,3,2,0,0,7
carbon tax,0,0,4,3,0,0,7
brand quality,0,0,0,7,0,0,7
expected utility,0,3,0,0,4,0,7
measurement error,7,0,0,0,0,0,7
regression model,0,2,0,0,3,2,7
environmental performance,0,0,4,0,0,3,7
real data,2,0,3,0,0,2,7
also provide,0,0,5,0,2,0,7
across different,0,2,0,0,3,2,7
policy effects,0,4,2,0,0,0,6
online marketplaces,0,6,0,0,0,0,6
borda count,0,0,0,4,2,0,6
standard errors,0,0,2,4,0,0,6
real estate,0,0,6,0,0,0,6
different types,0,0,2,2,2,0,6
united kingdom,4,0,0,0,2,0,6
open defecation,0,0,0,6,0,0,6
robust mechanism,0,0,6,0,0,0,6
brand loyalty,0,0,0,6,0,0,6
intertemporal choice,6,0,0,0,0,0,6
green supply chain,0,0,6,0,0,0,6
model allows,0,2,2,2,0,0,6
european banking,0,0,0,0,0,6,6
model based,2,0,0,4,0,0,6
supply chain management,0,0,6,0,0,0,6
uniform convergence,2,4,0,0,0,0,6
status quo,0,0,0,0,6,0,6
perceived brand,0,0,0,6,0,0,6
perceived brand quality,0,0,0,6,0,0,6
digital technologies,2,0,0,0,4,0,6
chain management,0,0,6,0,0,0,6
significant impact,0,0,6,0,0,0,6
future research,0,4,0,0,2,0,6
field experiment,0,2,0,0,4,0,6
higher education,0,6,0,0,0,0,6
social economic,0,0,6,0,0,0,6
moral concerns,0,0,0,0,0,6,6
parallel trends,0,0,0,0,2,4,6
contract theory,0,0,0,0,6,0,6
financial networks,2,0,0,2,0,2,6
household water,0,0,0,0,0,6,6
paper propose,2,2,2,0,0,0,6
high dimensional,0,0,3,3,0,0,6
widely used,0,3,3,0,0,0,6
wide range,0,2,0,2,2,0,6
lorenz curve,0,6,0,0,0,0,6
best arm,0,0,0,4,2,0,6
propose novel,2,0,0,2,0,2,6
covariate balancing,0,0,0,0,0,6,6
findings suggest,0,0,0,0,3,3,6
potential outcomes,0,2,0,0,0,4,6
exchange rate,0,2,2,2,0,0,6
green supply chain management,0,0,6,0,0,0,6
green supply,0,0,6,0,0,0,6
models llms,0,0,0,0,3,3,6
principal components,2,2,2,0,0,0,6
regression functions,0,0,0,0,0,6,6
performance incentives,0,0,0,0,6,0,6
regression function,2,0,0,0,0,4,6
natural language processing,0,0,0,0,6,0,6
stock returns,3,0,0,0,3,0,6
grassroots innovation,0,0,0,6,0,0,6
marginal emission factor,0,0,0,0,6,0,6
